text	entity_type		start	end
Klein	person_name		1798528	1799174
Klein	person_name		1879928	1880570
Andy Clark	person_name		1936460	1937074
folk psychology	occupation		1958372	1959470
folk psychology	occupation		1983116	1984018
Ryan Smith	person_name		1989788	1990546
folk psychology	occupation		1996182	1997366
math	occupation		2006384	2006714
folk psychology	occupation		2016404	2017114
Joe Deuhurst	person_name		2025496	2026494
folk psychology	occupation		2033468	2034386
folk psychology	occupation		2063252	2064430
Deuhurst	person_name		2076168	2076686
folk psychology	occupation		2078712	2079810
Andy Clark	person_name		2123336	2124014
Clark	person_name		2128232	2128574
Clark	person_name		2144128	2144454
Clark	person_name		2177166	2177454
Klein	person_name		2181532	2181922
Clark	person_name		2184156	2184482
Clark	person_name		2276808	2277326
Clark	person_name		2355490	2356042
psychology	occupation		2362618	2363498
Clark	person_name		2374696	2375102
Klein	person_name		2376616	2377086
Klein	person_name		2396352	2396694
French Foreign Legion	organization		2414068	2414986
Clark	person_name		2420776	2421262
Clark	person_name		2431736	2432014
folk psychology	occupation		2438108	2438882
French Foreign Legion	organization		2466164	2467246
Andy Clark	person_name		2507476	2508154
folk psychology	occupation		2518888	2519806
folk psychology	occupation		2546112	2547110
folk psychology	occupation		2568440	2569570
psychedelics	drug		2628650	2629490
psychedelics	drug		2638732	2639394
George Dean	person_name		2640732	2641790
Sipolito jonas Mago	person_name		2645870	2647446
Robert Carhartt harris	person_name		2647712	2649014
Fernando Rosas	person_name		2649760	2650742
authors	occupation		2653504	2653766
Lisa Feldman Barrett	person_name		2673646	2675134
engineers	occupation		2841932	2842366
mental health issues	medical_condition		2895360	2896458
depression	medical_condition		2896544	2897450
Lisa Feldman Barrett	person_name		2927512	2928846
Shaktor	person_name		2997008	2997766
Singer	person_name		2997968	2998502
emotion researchers	occupation		3001216	3002838
injected subjects	medical_process		3006084	3008202
injected them with adrenaline	medical_process		3012196	3013914
Wyoming	location		3097888	3098694
Andy	person_name		3272792	3273374
George Dean	person_name		3299888	3300614
Dean	person_name		3354436	3354746
George Dean	person_name		3382236	3383122
George Dean	person_name		3384508	3385154
Mark Miller	person_name		3385202	3385954
Sam Wilkinson	person_name		3386252	3387522
psychedelics	drug		3490028	3490674
psychedelics	drug		3491568	3492134
therapy	medical_process		3492432	3493174
Sarah Garfinkle	person_name		3543600	3545014
UCL	organization		3546048	3546662
Sussex	organization		3547488	3548278
Professor	occupation		3549870	3550486
Garfinkle	person_name		3550518	3551206
psychopathologies	medical_condition		3560186	3561290
PTSD	medical_condition		3563348	3564042
anxiety disorders	medical_condition		3564436	3565882
agent	occupation		3570376	3571166
disorders	medical_condition		3581708	3582550
Barrett	person_name		3675240	3675806
addiction	medical_condition		3752106	3752960
addiction	medical_condition		3754938	3755296
phenomenology	occupation		3786918	3787868
neurocomputational phenomenology	occupation		3791222	3793840
author	occupation		3810526	3810836
mark Miller	person_name		3810868	3811572
Mark Miller	person_name		3812030	3812900
author	occupation		3813918	3814420
25th	date		3818958	3819752
Mark Miller	person_name		3825362	3826072
agent	occupation		3877618	3878284
phenomenology	occupation		3894070	3895100
inference theorists	occupation		3896268	3897392
Matthew Ratcliffe	person_name		3914540	3915892
University of York	organization		3916638	3917780
Ratcliffe	person_name		3929954	3930960
Ratcliffe	person_name		3982340	3983356
Matthew Ratcliffe	person_name		4043558	4044444
phenomenology	occupation		4076216	4077352
neurobiology	occupation		4087734	4088844
phenomenological	occupation		4089430	4090252
aerodynamics	occupation		4104538	4105308
authors	occupation		4170002	4170344
computational modeling	occupation		4173218	4174456
aerodynamics	occupation		4199498	4200688
Brighton	location		4378546	4379448
aerodynamics	occupation		4462270	4463556
aerodynamics	occupation		4470706	4471592
aerodynamics	occupation		4479602	4480392
aerodynamics	occupation		4513876	4514772
Lisa Feldman	person_name		4529858	4530456
barrett says	person_name		4530488	4531336
Aerodynamics	occupation		4539940	4541164
aerodynamics	occupation		4544506	4545344
depression	medical_condition		4549018	4549680
aerodynamics	occupation		4553402	4554176
phenomenology	occupation		4555198	4556116
addiction	medical_condition		4575872	4576650
aerodynamics	occupation		4594708	4595454
addiction	medical_condition		4601262	4601742
addiction	medical_condition		4626510	4627174
Victorian	nationality		4630752	4631634
addict	medical_condition		4631782	4632362
Peter Hitchens	person_name		4638954	4639754
addict	medical_condition		4645988	4646314
addiction	medical_condition		4654984	4655358
addict	medical_condition		4665452	4666230
Mark Lewis	person_name		4718250	4719074
Mark Lewis	person_name		4719634	4720166
addiction	medical_condition		4725728	4726246
dysfunction in learning	medical_condition		4727088	4728234
Miller	person_name		4736132	4736426
behavioral addiction	medical_condition		4750472	4751198
biology	occupation		4762124	4762530
addiction	medical_condition		4776992	4777318
addiction	medical_condition		4789092	4789514
addiction	medical_condition		4792468	4793002
addiction	medical_condition		4813628	4813986
cocaine	drug		4883280	4883814
nicotine	drug		4921968	4922502
alcohol	drug		4922960	4923494
alcohol	drug		4925136	4925606
dealer	occupation		4951128	4951646
addict	medical_condition		4958588	4958962
agent	occupation		5037332	5037582
addict	medical_condition		5074814	5075204
addiction	medical_condition		5094194	5094536
addiction	medical_condition		5096758	5097116
addict	medical_condition		5102518	5102892
addiction	medical_condition		5103862	5104620
addiction	medical_condition		5165770	5166304
addiction	medical_condition		5172462	5172884
heroin	drug		5200118	5200556
cocaine	drug		5202118	5202876
Rat Park	location		5229070	5229972
phenomenology	occupation		5256502	5257768
addict	medical_condition		5260122	5260752
addict	medical_condition		5264218	5264544
addiction	medical_condition		5313338	5314100
Ben	person_name		5396088	5396558
Mark Miller	person_name		5450268	5451314
Mark	person_name		5452764	5453062
Mark	person_name		5467168	5467402
