start	end	sentNum	speaker	confidence	text
422912	433530	49	A	0.99882	So those two decompositions, they're sometimes called disintegrations, those two disintegrations need to be equal and that's what that equation is saying.
434460	446140	50	A	0.9705	So that's kind of because it doesn't have this division in it and because Bayes'law follows from it and because it's something you can write down in all settings, it's kind of more fundamental.
447200	454720	51	A	0.99904	But I quite like the kind of string diagrammatic form of it which is something that is drawn.
455060	456572	52	A	0.99989	It's not my invention.
456716	464588	53	A	1	I think I originally saw it in a paper by Bart Jakobs and I think his student at the time, Kenta Cho.
464764	479160	54	A	0.97743	So in, let's see equation 4.5 so that's section 4.1.2 on abstract Bayesian inversion.
479980	492540	55	A	0.99933	So yeah, if you scroll down a little, it's on like page 130 or 130 in my version, which might be hopefully around the same place in your version.
496480	498460	56	A	0.99232	Yeah, a little further.
501560	503396	57	A	1	Oh man, no, maybe not.
503578	507960	58	A	0.95577	Let me get up the version on because I've realized I've opened the wrong version.
510220	526480	59	A	0.99975	Meanwhile, see it so so the the thing I'm going for here is the sort of, as I say, the string diagrammatic depiction.
527140	527552	60	A	0.88	Yes.
527606	529968	61	A	0.89	4.1.2, it's page 120.
530054	531170	62	A	0.99995	Sorry about that.
535160	539220	63	A	0.74556	Yeah, so it kind of shows you how the information flows.
541000	547940	64	A	1	And so this makes the two processes quite explicit.
548020	552600	65	A	0.9959	So here on the left, the prior of the joint distribution is pi.
553180	562392	66	A	1	And then you take the sort of probability, the information from pi and you copy it and you keep one of the copies and that gives you your X marginal.
562536	569960	67	A	1	And then you feed the other one through the likelihood or the conditional channel C, and that gives you the other marginal.
570120	576044	68	A	1	And so if you throw away this X information, you get the Y marginal.
576092	578050	69	A	1	And that's what marginalization is.
578420	587456	70	A	1	And that's why the Y marginal, if you look on the right hand side, the prior is C after pi, that's the Y marginal.
587488	591910	71	A	0.62491	So this is like depicting that Product Law.
592600	609528	72	A	1	And then you say you can call something a Bayesian inversion of C with respect to the prior pi if it is something that can go in the box on the right hand side where I've written C dagger pi.
609624	623390	73	A	1	And the reason I've used this dagger symbol is because under certain technical conditions, this Bayesian inversion thing gives you what's known in category theory as a dagger function.
624740	628960	74	A	1	And that's something that swaps the direction of a morphism.
629620	636496	75	A	1	And so here you've taken the thing that goes from X to Y and you've swapped it and it goes from Y to X, but it depends on the prior.
636528	640420	76	A	0.68	And so I've written this little subscript and so for me, this picture.
642840	643168	77	A	0.88001	It's 
643184	646950	78	A	0.99979	kind of equivalent to that Product Law equation 4.2.
647420	658844	79	A	0.92442	But I think although it's a kind of new kind of language, I think it's a kind of more intuitive one because you can sort of see how the information flows through the system.
659042	665564	80	A	0.82922	Sorry, that was a bit of a long answer, but I think that's how I think of it.
665682	666350	81	B	0.99967	Great.
667120	670508	82	B	0.99852	Okay, next question.
670594	672208	83	B	0.99559	Could be a short one.
672374	676348	84	B	0.99749	I'm mostly wondering about how chapter six will be rewritten.
676524	677520	85	B	0.99998	Will it be major?
677590	685856	86	B	0.98	And when we promise we didn't write this question primarily to select the best policy as to where to direct my regime of attention?
685968	692112	87	B	0.99981	Like, should I wait to dig deeper into chapter six until the updated observations arrive?
692256	697064	88	B	0.99995	Is reflecting deeply up until chapter five where I should focus for now?
697102	699304	89	B	0.9657	Or is chapter six something that won't change too much?
699342	702344	90	B	1	And I can still explore that next week.
702542	704810	91	A	0.67483	So this is a great question.
706140	714140	92	A	1	And I'm sorry that the rewritten version isn't online yet, but it is really close, I promise.
714800	721356	93	A	0.98	And I am kind of aiming for it to be done like next week or maybe let's not hold myself hostage to fortune.
721388	723490	94	A	0.99984	So let's call it the next couple of weeks.
724340	735140	95	A	0.99934	But it's quite a change in the sense that it's kind of annoying because it's simpler but also kind of more structured.
735960	758990	96	A	0.84	And so that means that there were a lot of finicky details that I didn't anticipate needing to deal with, that I had to deal with, even though fundamentally the basic idea is kind of the same but also neater and simpler at the same time.
762080	769630	97	A	0.89	I can go into some details about the differences if you'd like, or I can just leave it at that.
770000	771052	98	A	0.52031	What would you rather?
771186	773410	99	B	0.99974	Let's return to this in the three.
773860	775360	100	A	0.99452	Okay, yeah, let's do that.
775430	776560	101	A	0.97021	That's a nice idea.
776710	788612	102	A	0.99986	So, yeah, I would say don't dig too deeply into it, because basically the thing that I've managed to do away with and sorry for all the people who've kind of tried to bang their heads on it already, is.
788666	791440	103	A	1	The kind of pro functor, like optics.
791520	807370	104	A	0.99404	Kind of like the sort of pro functor stuff with those weird coen things, the kind of integral symbols that I was using to define context for statistical games, that whole thing.
808320	812056	105	A	1	It turns out you don't actually need the complexity of that structure.
812248	818780	106	A	1	And the notion of context is really given just by two things.
818850	825680	107	A	0.86666	It's really just the prior, which we've already talked about, and also the observation you take from the environment.
826340	841780	108	A	1	And so before I thought you needed to consider not just the observation, but also the stuff that might go on in the environment around the observation that gives you correlations.
842280	846360	109	A	0.99992	But it turns out actually you don't need that, at least not for the free energy principle.
847500	852200	110	A	1	And so that makes things a bit simpler because you don't need that kind of weird structure.
853980	869084	111	A	0.99996	But there's, as I say, some technical stuff which is very annoying, which made it also a little bit slightly annoying to write down and involved by categories and sorry about that.
869202	893430	112	A	0.99983	But it's actually the fundamental idea of a statistical game being like a Bayesian lens which describes the inference process, maybe like a parameterized Bayesian lens that allows you to learn, but a Bayesian lens that comes with a loss function that's still the same idea.
894440	904436	113	A	1	And it turns out that loss functions like the relative entropy and the free energy, they actually have a really neat categorical structure.
904468	914748	114	A	0.99994	So the things I was calling like free energy games before or Bayesian inference games, those are actually now a lot even neater still.
914834	916510	115	A	0.9999	So that's really nice.
918960	928396	116	A	1	And the way you get predictive coding is still as like a functor from these statistical games to dynamical systems.
928508	930736	117	A	0.84781	So that idea is still the same.
930918	935430	118	A	0.56409	It's just actually it turned out that the statistical games themselves.
935880	940790	119	A	0.99882	There was actually a lot more nice stuff going on there than I had realized before.
942200	942950	120	B	0.99955	Awesome.
944920	945830	121	A	0.98084	All right.
947800	953876	122	B	0.44647	You cite Erisman and Van Bermesh work on memory evolution systems.
953988	956532	123	B	1	To what extent have you used their work in the thesis?
956596	969310	124	B	0.99996	Would it be correct to say that there might exist a functor from that book to your dissertation or indeed to any of your citations, is there work someone could do to explore the connection between the two?
969680	979868	125	B	1	To me, this is a question of one instance if a learner or researcher performs active inference on the interface between a work and a citation more generally?
979964	980640	126	B	0.99967	Great question.
980710	1000132	127	A	0.80664	Yeah, I think it's a really nice so I I read this work by Erisman of Rambamish on memory reevoltative systems a few years ago, and I found it very abstract and confusing.
1000196	1008350	128	A	1	And I was like, yeah, this is all really nice, but how does it actually connect to the brain and how things like brains work?
1011040	1030800	129	A	0.99997	But I've kind of softened my stance on it recently, and I think actually there's some really cool stuff in that work, some really great ideas about hierarchical complex systems and emergence and even things like neural coding.
1032180	1047290	130	A	0.43694	It's kind of, I think, slightly in danger, I think, of being forgotten because people see it and think, okay, well, how does it actually make contact with things I know about now, things that actually scientists use?
1048620	1056410	131	A	0.99	And so I think it would be great to explore the connections in a kind of more detailed way.
1056780	1060430	132	A	1	I don't know precisely what that would look like.
1062000	1070320	133	A	1	I heard a talk, actually, by don't know.
1070470	1073424	134	A	0.68874	There may be some on YouTube, I don't know.
1073542	1101160	135	A	0.99943	This was in Consciousness Maths of Consciousness like workshop at the end of April, and she explained some of the more recent stuff they'd been doing, and it sounded like actually there is a proof, I think, that Hebian learning does actually give you sort of what she calls cat neurons.
1102940	1112540	136	A	0.99	And so before I've been like, okay, well, it's a nice story, but does it actually relate to things like heavy learning, or is it just like an analogy?
1113920	1117180	137	A	0.96231	But it sounds like it's actually a bit more precise than I had thought.
1117330	1132140	138	A	1	And obviously, because of the connection between things like heavy and learning and predictive coding, it sounds like there should be a way to relate something like predictive coding to memory evolutive systems.
1132220	1144192	139	A	1	And that would be really nice because I sometimes think about this is kind of a direction that I'm trying to go in slightly, but try to think about nested active inference systems.
1144256	1158860	140	A	0.98885	Like, you might have a little region of the brain and all the cells are doing active inference, and the circuits do predictive coding, and they make up a brain and the brains make up society and an organization.
1159280	1171216	141	A	1	And that story of hierarchical complex systems is really the story that this work is trying to tell as well.
1171318	1172704	142	A	0.99998	Just in a different kind of way.
1172742	1190116	143	A	1	And so I think it's a really fruitful area, and I really hope somebody does dig into it, because I think it's great work, and I think it's just work that was kind of maybe ahead of its time, so it kind of got left by the wayside maybe a little bit.
1190138	1194230	144	A	0.5407	But I'm really glad to see somebody ask about it now.
1195260	1196056	145	A	0.98022	Cool.
1196238	1199224	146	B	0.99993	Just one short remark on this, and then alir Dean, please.
1199262	1204964	147	B	0.60598	It's almost like when people draw associations, like a line of sight.
1205092	1207204	148	B	1	Oh, well, emergence is like this.
1207262	1212648	149	B	0.93513	It's like they're surveying and can have quite far vision.
1212824	1218476	150	B	0.99998	But category theory is like building the high speed rail where it's, like, locked in.
1218658	1226172	151	B	1	And then we can say there really is a relationship of this exact formal type between Hebian learning and predictive coding.
1226236	1234992	152	B	0.99443	Let's just say some type so then that can be really relied on as a foundational building block.
1235136	1256052	153	B	1	And it kind of brings those literatures and merges those streams or at least adjoins the streams or naturally transforms the streams, or whatever the appropriate terminology would be, but in a really solid way that's not just like, well, one person on a mountaintop saw that these two things could be connected.
1256116	1259710	154	B	0.81917	It's more like an engineering project that really locks it in for everybody.
1260160	1261484	155	A	0.99996	Yeah, I think so.
1261522	1266568	156	A	1	And I hope people are incentivized to do that engineering.
1266664	1268030	157	A	0.76	I think that'd be great.
1268720	1272130	158	B	0.6642	All right, last of the presubmitted questions.
1273700	1288196	159	B	0.99969	So, in the par, pazulo and Friston 2022 active inference textbook, the first question in the recipe for designing an active inference model this is chapter six is which system?
1288378	1298250	160	B	0.99999	This entails three pieces of data one, the agent generative model, two, the interface sensory data and actions, and three, the external environment, the generative process.
1298860	1314620	161	B	0.99767	So how do these relevant big chunks of notions from the recipe for making an active inference model in the par at all textbook map to the sections of what you've done in your dissertation?
1314960	1316060	162	A	0.99992	That's a nice question.
1316130	1328800	163	A	1	And it takes me on to a question of action and active inference beyond the sort of approximate inference that I was talking about in my thesis, predominantly.
1329300	1335220	164	A	0.99976	Maybe here I could draw some stuff, and so I don't know how easy that is for you, but I can share my screen.
1335370	1336164	165	A	0.61	Yes.
1336362	1338470	166	A	0.98757	Let's see how this will work.
1341880	1342388	167	A	0.81513	Yeah.
1342474	1343110	168	A	0.9983	Okay.
1343480	1344230	169	A	0.99969	Share.
1345900	1346808	170	B	0.9982	All right.
1346974	1349508	171	A	0.99999	Can you see my cursor thingy?
1349604	1350250	172	B	0.99884	Yeah.
1350780	1351850	173	A	0.99882	Okay, cool.
1354060	1365660	174	A	0.65735	So I like to draw this picture, and this is like, the little channel c, which does prediction, and it goes from here, and it goes outwards.
1366560	1378780	175	A	1	And this is the inversion, the approximate inversion, and it takes in, like, a prior, which comes from here, and it takes in an observation.
1378940	1392230	176	A	0.75301	So we could think of this as, like this is, like, high level belief and, like, lower level.
1396110	1411360	177	A	1	And this is like somehow you get something which gives you an observation, and then this gives you like new belief, high level.
1415220	1417612	178	A	1	And this thing is a Bayesian lens.
1417756	1421970	179	A	0.99866	So that's what the Bayesian lenses are all about.
1423160	1433510	180	A	1	And the thing that I was talking about in my thesis is turning this into like a predictive coding dynamical system.
1434200	1443544	181	A	0.58727	Because you've got neurons which do this sort of prediction part and then neurons which do this passing back of error signals to do this updating part.
1443582	1446676	182	A	1	And they have this kind of like bi directional form and that's really neat.
1446708	1456652	183	A	0.7	And so you can put in another one here, another one here, or you can just start with your prior which is like something that I often write as pi up here.
1456786	1460190	184	A	1	And then this gives you like a new pi at this point.
1460820	1465788	185	A	0.61	And so this is going always from higher level beliefs to lower level beliefs.
1465804	1490120	186	A	0.52	And down here you might eventually get to the lowest level, which is like if you're thinking about visual systems, then this would be like the V one visual cortex stuff or like the stuff you get in the retina and you get prediction about let's say visual signals.
1491420	1495364	187	A	0.99997	But then the world, you get this predicted.
1495412	1512360	188	A	0.99997	But then the world comes back and it actually gives you actual this is predicted, gives you actual signals and then the brain uses that to update its beliefs up here.
1512510	1521036	189	A	1	And so really the interface is somehow like this, okay?
1521218	1529330	190	A	1	And so this is like lens world and this is like external world.
1531060	1535516	191	A	0.99986	So that's where the external environment comes into the picture.
1535708	1539590	192	A	1	And you could think of everything in here as like agent.
1541160	1548260	193	A	0.99996	But this doesn't really tell us much about action and it doesn't tell us much about interaction.
1548680	1562920	194	A	1	And so there's another kind of story for that which is kind of similar in many respects, which is the story that is told at least in category theory by what's known as categorical systems theory.
1563440	1565980	195	A	1	And there you get pictures like this.
1566130	1568524	196	A	0.91571	So this is like your world.
1568642	1577730	197	A	1	And there you've got some system inside the world and here you've got another system inside the world.
1578820	1585200	198	A	1	And so people then draw like things that are called wiring diagrams to kind of represent how these things interact.
1586100	1590676	199	A	0.98966	So let's call this a for a.
1590858	1594292	200	A	0.99999	Maybe there's another system over here and this is B.
1594346	1596132	201	A	0.81	And maybe that's C for A.
1596266	1602890	202	A	0.99782	Its environment is like everything that isn't A, it's B and C.
1605260	1619756	203	A	0.95088	So maybe it's connected like this, I don't know, some weird wiring thing actually, maybe that should go round to here and then this goes like to that.
1619858	1621390	204	A	1	I don't know, something like this.
1622640	1624712	205	A	0.99781	This is just what's known as a wiring diagram.
1624776	1627810	206	A	1	It just tells you how the systems are coupled together.
1628660	1635292	207	A	1	And that would be like specifying how the information flows across the Markov blankets of your systems.
1635436	1641060	208	A	0.51	And so this box is like the Markov blanket of A.
1641130	1645940	209	A	1	And then this wiring is like the data of the coupling of the blankets.
1647720	1660040	210	A	1	And so there's a whole theory, a whole sort of story in category theory about how to sort of compose if you've got like, you know, if you you know, it has to compose dynamical systems of this kind.
1660110	1661576	211	A	1	And so, you know, what?
1661598	1681280	212	A	0.76999	What we do is we say, okay, well, we we write down like the type of if we say if we call if we write IA to represent the interface like the data of this is like X and this is like Y or something like that the kind of shape of the Markov blanket.
1682180	1694790	213	A	0.43	Then what system theory tells us is that for each interface we get a whole category of systems that you could put in that box to animate it to make it like a living system.
1696360	1701128	214	A	1	And then this is like a closed box at the moment.
1701294	1706920	215	A	1	And so maybe it just represents the whole universe which doesn't have any external environment.
1707260	1724380	216	A	0.7798	But you might also have something like a company, so you call it like company X, and that has some agent which decides what the company does, or some agent here which takes in information from the environment.
1724880	1736370	217	A	1	And so this wiring is then something that gives you a morphism from like A and B and C to X.
1737300	1767310	218	A	1	And what this dynamical systems theory tells you is that let's call that W for wiring is that you get this functor from din A and din B and din C to din X, which tells you then how to wire all these dynamical systems together to give you one that fits into this outer box.
1767920	1772776	219	A	1	And so this tells you how to do all this for just dynamical systems.
1772808	1777004	220	A	0.99996	But of course, we're kind of interested in active inference systems.
1777052	1785330	221	A	0.75	And so here you don't just have some DX by DT thing to go in here.
1786180	1799670	222	A	0.99933	You've got the data of prediction and plans and goals and maybe then something about how to actually do the inference, like the statistical game stuff.
1800620	1802488	223	A	0.99952	But really the story is the same.
1802574	1822572	224	A	0.98	And so if you have these boxes, again, what we can do is if we have a box like this x to Y is we can think of an agent as having as a part of it a way of predicting, say, X.
1822626	1829452	225	A	0.99999	We think of let's call these something else, sorry, let's call these S.
1829586	1832448	226	A	0.99989	So this is like the sense data that goes into the system.
1832534	1836370	227	A	1	And then let's call this A, and then this is maybe like the actions that it takes.
1836740	1839430	228	A	0.99996	Let's now call this box, I don't know B.
1840440	1841732	229	A	1	Oh, no, I don't like B.
1841786	1843190	230	A	0.99996	Let's call it y.
1846280	1847540	231	A	0.99991	So now let's think.
1847610	1872332	232	A	0.99099	Okay, well, part of what an active inference agent is doing is that they're predicting they've got some high level belief of type Y, and then they make a prediction about not just the sort of sense data, but also about their actions and then their body samples from this belief about how they should act.
1872466	1881500	233	A	0.65506	Or you've got these little cells, these little mechanisms which try to correct the prediction errors to make those actions into reality.
1881580	1886960	234	A	1	And then maybe that gets coupled to some other system which receives those actions as inputs.
1887540	1908280	235	A	1	And you might have another part here which goes in the other direction which says, okay, given my actual sense data and my actual actions, maybe my body is still learning how to play tennis or something, what are my new high level beliefs?
1908860	1913080	236	A	1	And so you can do this whole story again of Bayesian lenses.
1916620	1921028	237	A	1	And this goes like that, and this is now just why?
1921214	1923052	238	A	1	And then this is like S times A.
1923106	1948356	239	A	0.97	And this is s times a So you can tell this story and you can build like, hierarchical systems, but now you have a way of filling in each box and in principle, a way of coupling them together to give composite active inference systems, like companies or like colonies of cells or things like that.
1948538	1953610	240	A	0.89563	This isn't a story yet that I've written down, but I know it works.
1954220	1957210	241	A	0.8	And I'm in the process of slowly writing it down.
1958300	1964090	242	A	0.99944	So the kind of fundamental structures that are in the thesis are like part of the story.
1965280	1980240	243	A	0.81	The main thing that's missing is kind of like reorienting it's, just like reorienting this picture so that it's not like going from here from left to right.
1980310	1988096	244	A	0.99168	It's like sort of poking down into the box, if you see what I mean.
1988198	1991990	245	A	1	And this is like the stuff you put in.
1992440	2000260	246	A	0.99982	So this is like your lens thing here, and you sort of fill in the box with your lens.
2002220	2012250	247	A	0.99652	So I think that tells I mean, that tells you how the chunks of the thesis kind of fit into the standard act of inference story.
2013100	2025980	248	A	1	The main job, at least as far as I'm concerned now, is to spell out the details and then start to talk about things like what happens if we've got Y and you've got Z's here?
2026050	2031730	249	A	0.69077	What if they're trying to form part of an organization, but they disagree about what to do?
2032180	2035120	250	A	0.96023	How does an organization resolve disagreements?
2035860	2041852	251	A	0.99999	What if you've got two signals from your brain to your muscles that tell you to do different things?
2041926	2043140	252	A	0.99965	How do you resolve?
2045880	2049830	253	A	0.99964	How do you get harmonious active inference systems in some sense?
2050680	2056772	254	A	0.9982	So I'll stop sharing my screen now, and then we could sort of return to the discussion.
2056836	2059690	255	A	0.99102	But that's, again, my kind of long winded answer.
2060940	2061690	256	B	0.99827	Awesome.
2063100	2065390	257	A	1	I can share the pictures I see.
2065920	2070430	258	A	0.6889	Dean you said you shared something, but I can share some more things.
2072080	2077656	259	B	0.34373	Dina unmute and then go for it and then Ali no, I just shared.
2077688	2088192	260	D	0.99999	Something from about nine years ago that I was doing in my programming that everything you just wrote out was I just wanted to share one part of it.
2088246	2096944	261	D	1	That confirms that you could come from completely different places and arrive at the same destination.
2096992	2102756	262	D	0.99	The whole bi directionality, the whole predictive parabolic.
2102868	2103624	263	D	0.83939	Yeah.
2103822	2108360	264	D	0.99998	You can bring this into classrooms and have it make sense.
2108430	2115500	265	D	1	It doesn't have to be esoteric or too remote, I guess.
2115570	2117884	266	A	0.91946	Yeah, that's great to hear.
2117922	2119596	267	A	0.99996	I'm really glad to hear that.
2119778	2122110	268	D	0.89093	Yeah, it's really awesome.
2122800	2123548	269	A	0.99998	Thanks.
2123714	2132192	270	A	0.8229	Yeah, as I say, there's lots left to do, but I think an important part of that is like spreading the word.
2132326	2137490	271	A	0.99424	It's really great that process is beginning, thanks to you guys.
2137860	2148644	272	B	0.96066	So, yeah, the rehearse play reflect cycle actually begins when you reverse the direction of thought reading from Dean's email.
2148762	2149430	273	B	0.99997	Interesting.
2151480	2152432	274	D	0.99825	Self organized.
2152496	2153110	275	D	0.99767	Yeah.
2153960	2155620	276	D	0.97794	It's all part of this whole cat.
2155770	2176120	277	D	0.99994	This is the like, I love the questions that we've had so far and I want to hear Ali's questions and then I want to be able to take it and have people not be intimidated by it because you can really find yourself doing these things on a daily basis.
2176200	2181312	278	D	0.99999	You just don't necessarily identify them the way that we are.
2181446	2188960	279	D	0.99998	But that doesn't mean that we have somehow lost access to the things that we're discussing today.
2189030	2191350	280	D	0.99992	So I'll just leave it at that for now.
2192280	2196484	281	A	0.9695	Yeah, cool.
2196602	2204920	282	B	0.99328	All right, in the rest of the time that we have with you for the two Toby.
2205820	2206840	283	B	0.64187	Ali.
2214140	2215530	284	C	0.76678	Okay, thank you.
2218140	2219720	285	B	0.51435	Your video is frozen.
2220640	2221608	286	B	0.99822	Your video is frozen.
2221624	2223150	287	B	0.97839	Maybe you can just turn it off.
2226260	2227632	288	B	0.99916	Yeah, go for it.
2227766	2228610	289	C	0.99756	Thank you.
2229060	2229970	290	A	0.99736	All right.
2233860	2240236	291	C	0.55874	In basically three to ridiculously.
2240268	2240850	292	C	0.63196	Next.
2244100	2247940	293	C	0.86973	Sorry, the notion of Marko, I noticed in your thesis.
2250800	2253544	294	B	0.9995	Sorry, Ali there's just a lot of lag.
2253672	2254350	295	B	0.90581	Yeah.
2274450	2277870	296	B	0.99995	What would you say is the chapter six equivalent?
2278370	2290420	297	B	0.96519	Is there yet a recipe for designing the kind of categorical, kind of compositional organization that you alluded to?
2294470	2296674	298	A	1	I can answer that quickly.
2296872	2299174	299	B	0.99056	Yeah, go for a quick answer and then I think now it's better.
2299212	2303254	300	A	0.98173	Ali yeah, so the quick answer?
2303452	2306840	301	A	0.98245	Well, it's a quick answer, but it's not a quick thing to do.
2307450	2328880	302	A	0.99953	But there's a great book on categorical systems theory in its kind of great generality, which doesn't explicitly talk about active inference like I've been, but it does talk about this kind of composing dynamical systems in this hierarchical way idea.
2329890	2334910	303	A	1	And that's the book that's currently being drafted by David Jazz Myers.
2335910	2338580	304	A	1	I can circulate a link to it.
2340550	2375520	305	A	0.86	Myers that sort of spells out the kind of general structure and I believe he and Mateo Capucci have got a paper upcoming at the upcoming Act Conference on Applied Category Theory this year, talking about using that framework to do kind of cybernetic like things.
2376930	2396306	306	A	0.99	And so what I've been thinking about lately is trying to fit active inference and the stuff I've been doing into that framework, which has been sort of developing in parallel and kind of fortunately and maybe slightly unsurprisingly, they fit very nicely together.
2396488	2402450	307	A	0.99	And so the pictures I was sketching are kind of a fragment of that other framework.
2402530	2405000	308	A	1	And as I say, I think they go quite well together.
2406250	2407000	309	B	0.99976	Awesome.
2407610	2410700	310	B	0.69266	Okay, Ali, go for it.
2411230	2411738	311	C	0.99622	Okay.
2411824	2412922	312	C	0.99977	Sorry about that.
2413056	2431630	313	C	0.99894	All right, so I noticed in your thesis that you don't rely too much on the notion of markup blankets, but instead you use this notion of polynomial functions as its more formal or perhaps more rigorous replacement.
2432930	2442420	314	C	0.99998	With regard to that in your paper Polynomial life, you say in the literature on active inference sorry.
2444470	2453190	315	C	0.9	And the free energy principle, there is much debate about the concept and role of markup blankets, which are sometimes conceived to represent the boundary of an adaptive system.
2453340	2462150	316	C	0.99999	We believe that the algebraic polynomials will help to make such thinking precise where it departs from the established usage of markup blankets and Bayesian networks.
2462230	2464682	317	C	0.99924	So would you care to elaborate a bit on that?
2464736	2473698	318	C	1	And how do you see polynomial functions as overcoming some of the limitations of the notion of markup blankets?
2473894	2475134	319	A	0.99867	Yeah, okay.
2475332	2497170	320	A	0.97197	So I will preface this by saying I think some people might disagree with me, but there is a notion of Markov blanket that for me is nicely defined, that exists in the sort of Bayesian statistics literature.
2497990	2508242	321	A	1	And it says if you've got a Bayesian network, you can consider the nodes in that network and you can ask what are their Markov blankets?
2508306	2517030	322	A	1	And in particular, you can just define the Markov blanket of a particular node to be its parents.
2517110	2535860	323	A	0.97326	So those nodes that it's conditionally sort of dependent on its children, sort of those nodes which are conditionally dependent on it and what are known as its coparent, so the other parents of its children.
2537750	2548686	324	A	0.76	And that's a very nicely well defined notion, but it's only nicely and well defined in this context of Bayesian networks.
2548878	2561734	325	A	0.76	And so it's like generalizing that to kind of situations where you've got interacting dynamical systems is something that informally makes total sense.
2561772	2572166	326	A	0.99988	You want to say, okay, well, I have this thing in the world and it behaves so it changes in time, and it's sort of a coherent unity in some sense.
2572208	2574270	327	A	0.85	And so it has a kind of boundary.
