start	end	speaker	confidence	start time	text from AssemblyAI	corrected text	speaker name	bad phrase	bad phrase	bad phrase
538137	648637	Takuya	0.62176	08:58	Well, this graph itself showed a clear correspondence because now we are considering a particular form of on DP in which each element of hidden states takes either zero or one. But there are many states so it is expressed in a form of factorization. So now we consider that in terms of the s fosteria Bordeaux. Upper part of Bordeaux correspond to the expectation about each element of s taking one and lower part of the bordese correspond to the expectation about s taking zero. So it is broke vector about the posterior expectation and this nicely correspond to the Brea vector shown in the bottom up this figure it is a vector of x and Bijan sorry it is a vector of x and by x and here by x indicate one minus x in the element y sense which is exactly correspond to block vector or expectation.	Well, this graph itself showed a clear correspondence because now we are considering a particular form of on DP in which each element of hidden states takes either zero or one. But there are many states so it is expressed in a form of factorization. So now we consider that in terms of the s fosteria Bordeaux. Upper part of Bordeaux correspond to the expectation about each element of s taking one and lower part of the bordese correspond to the expectation about s taking zero. So it is broke vector about the posterior expectation and this nicely correspond to the Brea vector shown in the bottom up this figure it is a vector of x and Bijan sorry it is a vector of x and by x and here by x indicate one minus x in the element y sense which is exactly correspond to block vector or expectation.				
650412	718600	Takuya	0.78737	10:50	This correspondence also observed in the second tab. Here, log S correspond to log X and also log A correspond to the broke matrix of W log W. Here W hat indicates the sigmoidal function of W and its bar means sigmoidal function of W. So actually, because we now consider binary hidden state and binary observation it's like reviewed mapping. Mapping from hidden states to conversation is expressed as block matrix, which is exactly correspond to broke matrix shown in the bottom of this figure.	This correspondence also observed in the second tab. Here, log S correspond to log X and also log A correspond to the broke matrix of W log W. Here W hat indicates the sigmoidal function of W and its bar means sigmoidal function of W. So actually, because we now consider binary hidden state and binary observation it's like reviewed mapping. Mapping from hidden states to conversation is expressed as block matrix, which is exactly correspond to broke matrix shown in the bottom of this figure.				
724775	735225	Takuya	0.6376	12:04	So like this, for every tab we have the exact correspondence between the upper expression and the lower expression.	So like this, for every tab we have the exact correspondence between the upper expression and the lower expression.				
737825	747525	Takuya	0.56482	12:17	So that's why we can say that this is a natural mapping from neural network formation to parishional vision formation.	So that's why we can say that this is a natural mapping from neural network formation to parishional vision formation.				
751137	774712	Takuya	0.54554	12:31	So it speaks a sort of identity between those two different expressions. So although 1 may be able to consider another mapping from neural network to Bayesian inference, this is a sort of simplest mapping.	So it speaks a sort of identity between those two different expressions. So although 1 may be able to consider another mapping from neural network to Bayesian inference, this is a sort of simplest mapping.				
777012	818212	Daniel	0.75003	12:57	So how would it look different if it were three states categorical distribution or a continuous distribution? What aspects would change? Thank you for asking that. So that's in some sense outside of this paper because only when we consider a binary hidden state, this analogy is established nicely. Otherwise we need to consider some attention.	So how would it look different if it were three states categorical distribution or a continuous distribution? What aspects would change? Thank you for asking that. So that's in some sense outside of this paper because only when we consider a binary hidden state, this analogy is established nicely. Otherwise we need to consider some attention.				
818862	886150	Takuya	0.51667	13:38	So because consider that each neuron code the probability or expectation of some value taking one, then the probability or expectation of taking zero can be simply computed by computing one Ines neural activity. So actually neural activity which is a single dimensional variable is sufficient to express the expectation. Right? But once we consider the three state hidden states program, this doesn't work. So we need to consider at least two variables but it's relation to neural network expression is not very clear in general.	So because consider that each neuron code the probability or expectation of some value taking one, then the probability or expectation of taking zero can be simply computed by computing one Ines neural activity. So actually neural activity which is a single dimensional variable is sufficient to express the expectation. Right? But once we consider the three state hidden states program, this doesn't work. So we need to consider at least two variables but it's relation to neural network expression is not very clear in general.				
891987	973537	Daniel	0.85864	14:51	That's very interesting why it would be so strong of a concordance in a binary case but immediately unclear for other distributions. Yeah, generally for poem DB expression we consider the one hot expression, one hot vector expression which means that we normalize the value in the sense that the summation of all variable to be one. Maybe there is some neural substrate that achieve that communication. But for classic type of neural network like canonical neural network, consider in this paper what is that neural substrate is not very clear. So that's why we selected the binary case because it's simple and have a clear analogy.	That's very interesting why it would be so strong of a concordance in a binary case but immediately unclear for other distributions. Yeah, generally for poem DB expression we consider the one hot expression, one hot vector expression which means that we normalize the value in the sense that the summation of all variable to be one. Maybe there is some neural substrate that achieve that communication. But for classic type of neural network like canonical neural network, consider in this paper what is that neural substrate is not very clear. So that's why we selected the binary case because it's simple and have a clear analogy.				
974637	998662	Daniel	0.88138	16:14	So what does it mean for an artificial or for a biological neuron to have activity dynamics or plasticity context? That justifies it being described as playing like a belief role in a Bayesian setting.	So what does it mean for an artificial or for a biological neuron to have activity dynamics or plasticity context? That justifies it being described as playing like a belief role in a Bayesian setting.				
1001625	1046037	Daniel	0.9992	16:41	Higher firing means more belief, higher firing means lower belief. What does it really mean to have a connection between in this episode of street talk belief states. I see, so if you assign a mapping, a particular mapping, then its meaning is also determined. In this case, we assign that neural activity correspond to the posterior expectation about an element of hidden states taking one. So once we define this mapping, then higher neural activity indicates the higher probability of taking one.	Higher firing means more belief, higher firing means lower belief. What does it really mean to have a connection between in this episode of street talk belief states. I see, so if you assign a mapping, a particular mapping, then its meaning is also determined. In this case, we assign that neural activity correspond to the posterior expectation about an element of hidden states taking one. So once we define this mapping, then higher neural activity indicates the higher probability of taking one.				
1052362	1080725	Daniel	0.71441	17:32	So neural activity is the probability neural activity is on the x axis and the y axis of the sigmoid function is the probability of taking one. Well. Neural activity encodes the expectation. So neural activity is sigmoidal function of something itself.	So neural activity is the probability neural activity is on the x axis and the y axis of the sigmoid function is the probability of taking one. Well. Neural activity encodes the expectation. So neural activity is sigmoidal function of something itself.				
1088487	1120687	Takuya	0.99422	18:08	This is because once we see a fixed point of neural activity equation which is derived from this cos function, it has a form of sigma WADA function so x equals sigmawilder function of graph, graph, graph. So this form is exactly correspond to softwaremax function of something which is seen in the solution of possibly expectation.	This is because once we see a fixed point of neural activity equation which is derived from this cos function, it has a form of sigma WADA function so x equals sigmawilder function of graph, graph, graph. So this form is exactly correspond to softwaremax function of something which is seen in the solution of possibly expectation.				
1126600	1264775	Daniel	0.53186	18:46	That'S what the neural activity encodes and what is the Bayesian interpretation or the update rules on the plasticity. Okay, that's another important point. So in terms of posture of parameters so in the case of Bayesian force us we consider update about deleted parameters of a matrix and B matrix which is usually expressed by the small case variable. And its meaning is that if we compute the partial derivative of a partial derivative of F with respect to small A then its solution it's fixed point solution looks like an computer product of which is also known as Hebbian product because it has an errors drink to update depending on the precinaptic neuron activity and postsynaptic neuron activity. And according to this formal equivalent we revisit we can see again such analogy in a formal sense here if we computer the partial derivative of neural network function with respect to W then we can formally derive the Hebbian prosthesis which depends on the activity of prey and postsynaptic neuro activity.	That'S what the neural activity encodes and what is the Bayesian interpretation or the update rules on the plasticity. Okay, that's another important point. So in terms of posture of parameters so in the case of Bayesian force us we consider update about deleted parameters of a matrix and B matrix which is usually expressed by the small case variable. And its meaning is that if we compute the partial derivative of a partial derivative of F with respect to small A then its solution it's fixed point solution looks like an computer product of which is also known as Hebbian product because it has an errors drink to update depending on the precinaptic neuron activity and postsynaptic neuron activity. And according to this formal equivalent we revisit we can see again such analogy in a formal sense here if we computer the partial derivative of neural network function with respect to W then we can formally derive the Hebbian prosthesis which depends on the activity of prey and postsynaptic neuro activity.				
1268337	1333012	Daniel	0.88	21:08	Okay, so hebion plasticity often described as neurons that fired together, wired together. Here you're discussing it in terms of a matrix operation on the POMDP side between observables and hidden states. So there's a hebion plasticity happening between the perceptual layer and the cognitive layer, right? So the first half of the neural network is trained according to heavy and plasticity rules that optimize the A in terms of the perceptual and learning like relationship between hidden states and observables. And then the second half of the neural network has a slightly different structure.	Okay, so hebion plasticity often described as neurons that fired together, wired together. Here you're discussing it in terms of a matrix operation on the POMDP side between observables and hidden states. So there's a hebion plasticity happening between the perceptual layer and the cognitive layer, right? So the first half of the neural network is trained according to heavy and plasticity rules that optimize the A in terms of the perceptual and learning like relationship between hidden states and observables. And then the second half of the neural network has a slightly different structure.				
1333812	1350337	Daniel	0.97	22:13	It is optimizing based upon retroactive re analysis of consequences of action according to the fictive causality construction.	It is optimizing based upon retroactive re analysis of consequences of action according to the fictive causality construction.				
1353387	1396750	Takuya	0.79601	22:33	So actually in this figure b up layer correspond to environment and lower part correspond to agent. So this structure corresponds to figure eight, this correspond to a simpler version of foam DP. So for version of POMDP, its corresponding neural network is showing figure four or this paper image task. This is the neural network architectures.	So actually in this figure b up layer correspond to environment and lower part correspond to agent. So this structure corresponds to figure eight, this correspond to a simpler version of foam DP. So for version of POMDP, its corresponding neural network is showing figure four or this paper image task. This is the neural network architectures.				
1402712	1465275	Takuya	0.77476	23:22	So as you say, there is a network connection from sensory layer to cognition layer which is expressed by W here and recurrent connection which corresponds to state transient matrix is expressed by K matrix which is recurrent Sinematic connectivity. And as you say the action generation through retrospective reward or risk evolution is done by output trigger through the synaptic connectivity expressed as V in this figure. So V is the synaptic connectivity between cognitive states in the middle layer and the action selection states in Y. Exactly. And so in that way V is exactly analogous to W.	So as you say, there is a network connection from sensory layer to cognition layer which is expressed by W here and recurrent connection which corresponds to state transient matrix is expressed by K matrix which is recurrent Sinematic connectivity. And as you say the action generation through retrospective reward or risk evolution is done by output trigger through the synaptic connectivity expressed as V in this figure. So V is the synaptic connectivity between cognitive states in the middle layer and the action selection states in Y. Exactly. And so in that way V is exactly analogous to W.				
1465637	1476612	Daniel	0.73723	24:25	But why and how does gamma come into play only in this second layer? I mean why not have gamma one in the first layer? Gamma two in the second layer.	But why and how does gamma come into play only in this second layer? I mean why not have gamma one in the first layer? Gamma two in the second layer.				
1478987	1581382	Takuya	0.80447	24:38	Generally speaking, it is possible to moderate plasticity in first layer using another moderator gamma. But for complexity we focus only on neural modulation in the output layer. Analogy is that for example, as you said, the first rigor computer more perceptual things so perception of external world and instead on the other hand middle secondary which is mapping from cognition layer to action layer perform the optimization of its own action. So for example, in the story item in the brain action prediction is optimized by conversation of dopamine as a input. So usually that socket receives signal from ecological neural socket and send signal to another neuronal nucleus in meat grain.	Generally speaking, it is possible to moderate plasticity in first layer using another moderator gamma. But for complexity we focus only on neural modulation in the output layer. Analogy is that for example, as you said, the first rigor computer more perceptual things so perception of external world and instead on the other hand middle secondary which is mapping from cognition layer to action layer perform the optimization of its own action. So for example, in the story item in the brain action prediction is optimized by conversation of dopamine as a input. So usually that socket receives signal from ecological neural socket and send signal to another neuronal nucleus in meat grain.				
1581547	1645287	Takuya	0.93482	26:21	But the point here is that neuron in storatum encodes some decision for examples goal or no goal. So such a decision is encoded. So now we consider analogy between pond DP expression in the Bayesian formation and neural socket in the brain that optimize action through some sort of moderation by another factor. Here that factor corresponds to gamma and gamma has variety of function. But in this paper we focus only on the moderation of activity.	But the point here is that neuron in storatum encodes some decision for examples goal or no goal. So such a decision is encoded. So now we consider analogy between pond DP expression in the Bayesian formation and neural socket in the brain that optimize action through some sort of moderation by another factor. Here that factor corresponds to gamma and gamma has variety of function. But in this paper we focus only on the moderation of activity.				
1646387	1675950	Takuya	0.69458	27:26	So here the behavior activity is not determined by only a preposter relationship but determined by three factors relationship in the sense that the activity is updated by the product of gamma and prayer and postsynaptic activity. So there are three times in one.	So here the behavior activity is not determined by only a preposter relationship but determined by three factors relationship in the sense that the activity is updated by the product of gamma and prayer and postsynaptic activity. So there are three times in one.				
1678037	1682487	Takuya	0.92935	27:58	This is why this comma can moderate prosthesity.	This is why this comma can moderate prosthesity.				
1686150	1734590	Daniel	0.82575	28:06	So how would a glial factor look different computationally? And where in the brain have people identified levels or other factors as relevant for learning? Yeah, that's an interesting point. I'm not really sure about the equation of the real moderation of neural activity or plasticity. There are many discussions and I'm sorry, I don't know the exact form, but one possible implementation is similar to this type of neuromodulation.	So how would a glial factor look different computationally? And where in the brain have people identified levels or other factors as relevant for learning? Yeah, that's an interesting point. I'm not really sure about the equation of the real moderation of neural activity or plasticity. There are many discussions and I'm sorry, I don't know the exact form, but one possible implementation is similar to this type of neuromodulation.				
1734695	1758700	Takuya	0.78796	28:54	So it would be possible to model some real contribution or free factor to plasticity in the form of three factor learning room which is mathematically speaking Lamme as this type of neural moderation.	So it would be possible to model some real contribution or free factor to plasticity in the form of three factor learning room which is mathematically speaking Lamme as this type of neural moderation.				
1763750	1776225	Daniel	0.91288	29:23	Here in table two we have another set of correspondences. It's like a sideways figure three, right? But a little bit more like a dictionary.	Here in table two we have another set of correspondences. It's like a sideways figure three, right? But a little bit more like a dictionary.				
1780862	1815075	Daniel	0.97584	29:40	Anything to add? Or any variables that we haven't really mentioned. What about the firing thresholds? Because these are common parameters in a neural model, however, we don't really hear about the interpretation of these constructs within the variational base POMDP. Yeah, there is an interesting story.	Anything to add? Or any variables that we haven't really mentioned. What about the firing thresholds? Because these are common parameters in a neural model, however, we don't really hear about the interpretation of these constructs within the variational base POMDP. Yeah, there is an interesting story.				
1817462	1906437	Takuya	0.7155	30:17	That's a very interesting point. So when we first tried to make analogy between neurons network and one program is the law of threshold factor because as you said, it is not absorbing POMDP structure. But there is another factor in Pompey which is prior expectation about hidden state which is usually expressed by D matrix. And what we consider is the relationship between d matrix and firing threshold. And finally, what we found is that firing threshold is not equal to the matrix itself, but it is a summation of B matrix under some function of synaptic strength or which is equal to a matrix b matrix in the POMDP formation.	That's a very interesting point. So when we first tried to make analogy between neurons network and one program is the law of threshold factor because as you said, it is not absorbing POMDP structure. But there is another factor in Pompey which is prior expectation about hidden state which is usually expressed by D matrix. And what we consider is the relationship between d matrix and firing threshold. And finally, what we found is that firing threshold is not equal to the matrix itself, but it is a summation of B matrix under some function of synaptic strength or which is equal to a matrix b matrix in the POMDP formation.				
1906787	1968450	Takuya	0.96515	31:46	In other words, what we found is that each which is a firing solution in neural network architecture, it is actually an adaptive threshold which is not a fixed value, but h is a function of W sinatic strengths and h changes depending on W's value. For example, if W is too Laje, then your activity can be unstable. So h behavior to reduce the activity to make neural activity more stable. So we can see an analogy of omeostatic mechanism here.	In other words, what we found is that each which is a firing solution in neural network architecture, it is actually an adaptive threshold which is not a fixed value, but h is a function of W sinatic strengths and h changes depending on W's value. For example, if W is too Laje, then your activity can be unstable. So h behavior to reduce the activity to make neural activity more stable. So we can see an analogy of omeostatic mechanism here.				
1975562	2025900	Takuya	0.74871	32:55	If we design A as the function of w and function of another factor which is all part of the term in this table, then we could make common analogy between this h and some variable in palm DP correlation which is shown in the right hand side of this table. Although its value is not simple because it chaos three different tasks. So all of them contribute to make h or M.	If we design A as the function of w and function of another factor which is all part of the term in this table, then we could make common analogy between this h and some variable in palm DP correlation which is shown in the right hand side of this table. Although its value is not simple because it chaos three different tasks. So all of them contribute to make h or M.				
2028662	2050212	Takuya	0.66895	33:48	But anyway, once we map, so once we establish a mapping between h and this value, then everything works. So the cost function in different settings have Omar correspondence.	But anyway, once we map, so once we establish a mapping between h and this value, then everything works. So the cost function in different settings have Omar correspondence.				
2054462	2126562	Daniel	0.51	34:14	H and the M firing thresholds. So H correspond to middle rare M indicator output raider threshold which are different variables. And interestingly h correspond to prior expectation about hidden states because it corresponds to community rare and M correspond a priori belief about its own action because it is a bias in the action layer. Yeah, it's very interesting that the perceptual firing threshold h only includes prior beliefs on hidden states, beliefs about how observations map to hidden states A and beliefs about how hidden states change their time B. So that's like pure passive inference.	H and the M firing thresholds. So H correspond to middle rare M indicator output raider threshold which are different variables. And interestingly h correspond to prior expectation about hidden states because it corresponds to community rare and M correspond a priori belief about its own action because it is a bias in the action layer. Yeah, it's very interesting that the perceptual firing threshold h only includes prior beliefs on hidden states, beliefs about how observations map to hidden states A and beliefs about how hidden states change their time B. So that's like pure passive inference.				
2127212	2167662	Daniel	0.89	35:27	And then the firing thresholds for M correspond to only beliefs about preferences and beliefs about actions or habits with C and E. So there's like a complete division of labor or partitioning functionally between these structurally different parts of the neural network and structurally different and functionally different parts of the POMDP. Yet they're integrated in unified loss functions or unified imperatives.	And then the firing thresholds for M correspond to only beliefs about preferences and beliefs about actions or habits with C and E. So there's like a complete division of labor or partitioning functionally between these structurally different parts of the neural network and structurally different and functionally different parts of the POMDP. Yet they're integrated in unified loss functions or unified imperatives.				
2170037	2216562	Daniel	0.77	36:10	And so it's like there's extreme separability of perception and action on both sides of the figure one divide, but also they're integrated, but they're separate. And that's what kind of grants it the best of both worlds because if they were any more integrated you couldn't really pull them apart. And if they were any less integrated then the imperative, the loss function or the variational free energy would be ad hoc and unprincipled. But there's kind of a middle ground where they have a principled integration but still a distinguishment.	And so it's like there's extreme separability of perception and action on both sides of the figure one divide, but also they're integrated, but they're separate. And that's what kind of grants it the best of both worlds because if they were any more integrated you couldn't really pull them apart. And if they were any less integrated then the imperative, the loss function or the variational free energy would be ad hoc and unprincipled. But there's kind of a middle ground where they have a principled integration but still a distinguishment.				
2218862	2219625	Takuya	0.76	36:58	Right?	Right?				
2221712	2256162	Takuya	0.98688	37:01	This is caused by network structure defined or it is because the structure of Bayesian network defined in the MDV model. So both of them define the causal relationship between elements or quantities.	This is caused by network structure defined or it is because the structure of Bayesian network defined in the MDV model. So both of them define the causal relationship between elements or quantities.				
2260187	2281212	Takuya	0.69466	37:40	Its substrate is not important, so it's relationship is crucial to determine the cost function or it's a fixed point in this context. So that's why we can see the data analogy.	Its substrate is not important, so it's relationship is crucial to determine the cost function or it's a fixed point in this context. So that's why we can see the data analogy.				
2284525	2321505	Daniel	0.93054	38:04	Well, there's a few technical points I think we can now go into and then there will be some more general points about applications and intelligence. So first the code availability statement. Awesome to see that the MATLAB scripts are available and also active on Zinodo. So here is the GitHub repo for reverse engineering. Do you want to give any overview descriptions of what people can expect to see in this repo?	Well, there's a few technical points I think we can now go into and then there will be some more general points about applications and intelligence. So first the code availability statement. Awesome to see that the MATLAB scripts are available and also active on Zinodo. So here is the GitHub repo for reverse engineering. Do you want to give any overview descriptions of what people can expect to see in this repo?				
2321640	2325050	Daniel	0.95	38:41	And also what about using MATLAB?	And also what about using MATLAB?				
2330062	2336087	Daniel	0.9991	38:50	Why did you use MATLAB? What advantages or limitations do you see in MATLAB?	Why did you use MATLAB? What advantages or limitations do you see in MATLAB?				
2338387	2351537	Takuya	0.56154	38:58	So, because this is a very simple simulation, so Macrab is sufficient to encode the whole script.	So, because this is a very simple simulation, so Macrab is sufficient to encode the whole script.				
2354812	2374937	Takuya	0.99404	39:14	We also try some implication in the material. See here, if you run the script, then you can see the process of an agent solving the maze task.	We also try some implication in the material. See here, if you run the script, then you can see the process of an agent solving the maze task.				
2379412	2419752	Daniel	0.94571	39:39	What did they do in the maze task? So here the aim of this agent is to reach the right hand side of this maze. Because this is a typical example of the rate moderation task. That's why we select the main task. So to achieve this next task, is it required to make some plan to be able to select a good decision?	What did they do in the maze task? So here the aim of this agent is to reach the right hand side of this maze. Because this is a typical example of the rate moderation task. That's why we select the main task. So to achieve this next task, is it required to make some plan to be able to select a good decision?				
2419932	2443700	Takuya	0.98116	40:19	Because without planning, you may encounter the war and cannot go further and you may fail the image. But with learning, it is possible to see the path to reach the right hand side of this space.	Because without planning, you may encounter the war and cannot go further and you may fail the image. But with learning, it is possible to see the path to reach the right hand side of this space.				
2446012	2449112	Daniel	0.85354	40:46	So does it know its exploration?	So does it know its exploration?				
2453137	2482192	Takuya	0.42	40:53	Yeah, it received a state from neighboring eleven times eleven Jelle. So which is shown in the bottom part. Yeah, this left figure C indicates the observation. So eleven times eleven state around the agent position. Okay.	Yeah, it received a state from neighboring eleven times eleven Jelle. So which is shown in the bottom part. Yeah, this left figure C indicates the observation. So eleven times eleven state around the agent position. Okay.				
2482240	2492900	Takuya	0.98	41:22	Now agent is on the right hand side of image at the goal position and it observes our neighboring state.	Now agent is on the right hand side of image at the goal position and it observes our neighboring state.				
2496937	2512325	Daniel	0.91225	41:36	Well, a few interesting things here. It's looking off the right end. Yeah. And it has this kind of periodic belief in the key distribution. Why?	Well, a few interesting things here. It's looking off the right end. Yeah. And it has this kind of periodic belief in the key distribution. Why?				
2515087	2582762	Takuya	0.99	41:55	I think it is because when the agent is in the middle point of maze, then all neighboring state is in the maze. So there is a path and there is a wall. So this makes some ergodicity because mazes have some structures and actually have a periodic structure and only at the goal position, then right hand side becomes war. But it is not common for this agent. This is because this agent show such a priori pattern.	I think it is because when the agent is in the middle point of maze, then all neighboring state is in the maze. So there is a path and there is a wall. So this makes some ergodicity because mazes have some structures and actually have a periodic structure and only at the goal position, then right hand side becomes war. But it is not common for this agent. This is because this agent show such a priori pattern.				
2584237	2618687	Daniel	0.9	43:04	Yeah, the streets are one wide and they tend to be separated by one. So we see this periodicity. What is the numbers in this middle bottom plot and what does the checker board represent? Yeah, hered correspond to possibility, expectation about active states and decision. So middle indicate decision posterior and decision.	Yeah, the streets are one wide and they tend to be separated by one. So we see this periodicity. What is the numbers in this middle bottom plot and what does the checker board represent? Yeah, hered correspond to possibility, expectation about active states and decision. So middle indicate decision posterior and decision.				
2619037	2662925	Takuya	0.64276	43:39	Here we characterize decision as a secret of four step actions. So each action correspond to a movement to right or left or up or down. And we consider a four step sequence of that option which is expressed as D. So it has four power, four possibility. 256.	Here we characterize decision as a secret of four step actions. So each action correspond to a movement to right or left or up or down. And we consider a four step sequence of that option which is expressed as D. So it has four power, four possibility. 256.				
2663812	2714912	Takuya	0.69	44:23	Yeah, 256. So this is a protein on XY coordinate because in the middle panel, middle point correspond to the current position of agent. And with four step movement, agent can go one of any current position and the current brightness corresponds to the expectation about the agent decision. Well this is very interesting. If we just were to think about you're at a point and you can go up, down, left, right, you have four moves.	Yeah, 256. So this is a protein on XY coordinate because in the middle panel, middle point correspond to the current position of agent. And with four step movement, agent can go one of any current position and the current brightness corresponds to the expectation about the agent decision. Well this is very interesting. If we just were to think about you're at a point and you can go up, down, left, right, you have four moves.				
