start	end	speaker	wconfidence	text
54118	54566	B	0.99996	sharing
54598	54842	B	0.5787	our
54896	55334	B	0.99991	reference
55382	56022	B	0.80787	frames,
56166	56522	B	0.99987	making
56576	56746	B	1.0	a
56768	57094	B	0.9994	shared
57142	57594	B	0.76	one.
57712	58378	B	0.92182	So,
58544	58966	B	0.94648	Andrew,
58998	59110	B	0.50984	would
59120	59246	B	0.99896	be
59268	59742	B	0.99992	awesome
59876	60560	B	1.0	to
61330	61646	B	0.99974	have
61668	61806	B	0.99996	you
61828	62026	B	0.99192	zoom
62058	62206	B	0.99997	in
62228	62318	B	1.0	a
62324	62446	B	1.0	little
62468	62654	B	0.99998	bit
62692	62846	B	0.99999	on
62868	63006	B	1.0	the
63028	63722	B	0.99988	slide
63866	64174	B	0.99	and
64212	64800	B	0.99684	then
65510	65922	B	0.99969	feel
65976	66242	B	1.0	free
66296	66994	B	0.77	to
67192	67554	B	0.99999	take
67592	67794	B	1.0	us
67832	68034	B	1.0	through
68072	68274	B	0.97115	some
68312	68466	B	1.0	of
68488	68818	B	1.0	the
68904	69202	B	0.99999	key
69256	69860	B	0.99997	points
70230	70594	B	0.99996	so
70632	70786	B	0.99997	that
70808	70946	B	0.99998	we
70968	71540	B	0.8057	can
72230	72594	B	0.99998	see
72632	72738	B	1.0	a
72744	72914	B	0.99995	little
72952	73154	B	1.0	bit
73192	73346	B	1.0	how
73368	73566	B	0.78981	you're
73598	73842	B	0.97813	seeing
73896	74114	B	0.99896	it.
74152	74306	B	0.99997	Thank
74328	74900	B	0.79974	you.
75670	75986	A	0.96899	That
76008	76242	A	0.9878	looks
76296	76754	A	0.51609	good.
76872	77540	A	1.0	Yes.
78070	78530	A	0.52877	Okay,
78600	79074	A	0.99997	so
79192	79534	A	0.99945	let's
79582	79794	A	1.0	start
79832	80142	A	1.0	by
80216	81190	A	0.99893	reviewing
82410	82726	A	1.0	the
82748	82982	A	0.5369	last
83036	83826	A	0.84527	lecture
84018	84374	A	0.99993	from
84412	84518	A	1.0	a
84524	84598	A	0.99998	couple
84604	84678	A	0.7	of
84684	84854	A	0.99996	weeks
84892	85094	A	0.99997	ago,
85132	85286	A	0.99	and
85308	85542	A	0.99984	then
85596	85766	A	0.99988	we
85788	85926	A	0.99997	can
85948	86134	A	0.99999	open
86172	86278	A	0.99984	up
86284	86406	A	1.0	the
86428	86882	A	0.88097	discussions.
86946	87126	A	0.99961	If
87148	87346	A	0.58951	there's
87378	87670	A	0.99998	any
87740	88070	A	0.99997	questions
88140	88374	A	0.99985	that
88412	88626	A	0.99893	appear
88658	88758	A	0.99995	in
88764	88838	A	1.0	the
88844	88966	A	0.99927	live
88988	89218	A	0.99963	chat,
89234	89366	A	0.99761	we
89388	89526	A	0.99991	can
89548	89830	A	0.99982	address
89900	90520	A	0.874	those.
91230	91546	A	0.82161	All
91568	91802	A	0.98067	right.
91856	92460	A	0.92389	So
94030	94486	A	0.99306	lecture
94518	94714	A	0.91	two,
94752	95478	A	0.98481	Chris
95654	96730	A	0.53318	introduced
97070	97386	A	0.78699	this
97408	97690	A	0.99995	idea
97760	98380	A	1.0	of
99710	100266	A	0.98	the
100368	100874	A	0.99998	information
100992	101574	A	0.83549	processing
101622	101990	A	0.99988	between
102080	102382	A	0.38024	system
102436	102558	A	0.72	A
102564	102686	A	0.91	and
102708	103230	A	0.62	B,
103380	103646	A	0.99825	where
103668	103806	A	0.99978	they
103828	104234	A	0.99996	interact
104282	104794	A	0.99722	via
104922	105434	A	0.59021	qubits
105482	105646	A	0.98731	on
105668	105758	A	1.0	a
105764	106170	A	0.99946	boundary,
106250	106446	A	1.0	and
106468	106654	A	0.99888	they
106692	107280	A	0.99606	have
108530	109114	A	0.99959	reference
109162	109870	A	0.79094	frames
111250	112000	A	0.97326	that
112370	112686	A	0.99883	give
112708	113418	A	0.99926	meaning
113594	113934	A	1.0	to
113972	114318	A	0.99722	this
114404	115398	A	0.74933	communication.
115594	115906	A	0.69423	You
115928	116066	A	0.97233	want
116088	116226	A	1.0	to
116248	116386	A	0.99988	think
116408	116980	A	1.0	of
117750	118306	A	0.99998	information
118408	118926	A	0.99916	processing
118958	119106	A	0.99976	as
119128	119314	A	0.88	a
119352	119854	A	0.99877	communication
119902	120500	A	0.99953	channel,
121510	121826	A	1.0	the
121848	122420	A	0.99907	way
123510	124142	A	0.68126	Shannon
124206	124434	A	0.99989	thought
124472	124722	A	0.99993	about
124776	125380	A	0.90817	it.
126230	126594	A	0.62647	So
126632	126738	A	0.99929	that
126744	126866	A	0.5762	was
126888	127026	A	0.90877	in
127048	127326	A	0.99975	lecture
127358	127890	A	0.97	two.
128040	128402	A	0.62	And
128456	128814	A	0.99968	lecture
128862	129074	A	1.0	three
129112	129218	A	1.0	a
129224	129358	A	0.99984	couple
129384	129622	A	0.99917	weeks
129676	130280	A	1.0	ago
132250	132614	A	0.97339	tried
132652	132758	A	1.0	to
132764	132886	A	1.0	make
132908	133094	A	0.61326	this
133132	133334	A	1.0	more
133372	134310	A	0.99995	explicit
134730	135190	A	0.99999	by
135260	135858	A	0.53983	emphasizing
135874	136006	A	0.67	the
136028	136214	A	0.99993	idea
136252	136454	A	0.99782	that
136492	136646	A	0.99999	this
136668	136854	A	0.99997	has
136892	137046	A	1.0	to
137068	137640	A	0.99997	be
138490	139042	A	0.99995	physically
139106	139614	A	0.99858	embodied
139682	140246	A	0.9849	somewhere.
140358	140874	A	0.82373	Okay.
140992	141660	A	0.79	And
142110	142474	A	0.58	I
142512	142762	A	0.99989	think
142816	143130	A	0.99987	that
143200	143578	A	0.99997	because
143664	143866	A	0.99992	we
143888	144074	A	0.9818	are
144112	144266	A	0.99999	so
144288	144474	A	0.99997	used
144512	145194	A	0.66	to
145392	145898	A	1.0	information
145984	146282	A	0.63897	being
146336	147130	A	0.83576	fungible
148670	148986	A	0.99501	in
149008	149194	A	0.95302	no
149232	149482	A	0.99994	small
149536	149802	A	0.99998	part
149856	150074	A	1.0	because
150112	150218	A	1.0	of
150224	150346	A	0.99	the
150368	150726	A	0.99945	Internet
150758	150906	A	1.0	and
150928	151500	A	0.9969	everything,
152510	152918	A	0.70922	it's
152934	153018	A	1.0	a
153024	153242	A	0.99977	little
153296	153900	A	0.99988	hard
154350	154714	A	1.0	to
154752	155050	A	0.99999	understand
155120	155258	A	0.99	at
155264	155482	A	0.98	first
155536	155946	A	0.99998	when
156048	156278	A	1.0	the
156304	156554	A	0.71623	claim
156602	156814	A	0.9982	is
156852	157102	A	0.99999	made
157156	157760	A	0.99987	that
158130	158446	A	0.99996	you
158468	158558	A	0.99999	have
158564	158686	A	0.78	a
158708	159146	A	0.98739	QRF
159178	159278	A	0.99961	that
159284	159466	A	0.63418	it's
159498	159658	A	0.99809	non
159674	160122	A	0.67726	fungible
160186	160366	A	0.86058	or
160388	160526	A	0.99996	you
160548	160638	A	0.99999	have
160644	160718	A	1.0	a
160724	160846	A	1.0	piece
160868	160958	A	1.0	of
160964	161306	A	0.99955	quantum
161338	161582	A	0.99999	information
161636	161898	A	0.99952	that's
161914	162106	A	0.99475	non
162138	162602	A	0.94389	fungible
162666	162942	A	0.62894	or
162996	163166	A	0.99999	things
163188	163326	A	0.99999	like
163348	163534	A	1.0	the
163572	163774	A	0.99947	no
163812	164186	A	0.89111	Cloning
164218	164990	A	0.99854	theorem.
165590	165918	A	0.98639	We're
165934	166114	A	0.9935	so
166152	166306	A	0.99996	used
166328	166466	A	1.0	to
166488	166770	A	0.99985	information
166840	167074	A	0.9976	being
167112	167566	A	0.54937	fungible,
167598	167746	A	1.0	to
167768	167906	A	0.9974	it
167928	168114	A	0.99989	being
168152	168446	A	0.98598	zeros
168478	168626	A	1.0	and
168648	169220	A	0.99	ones
170070	170820	A	0.9919	that
172390	172798	A	0.92898	it's
172814	172898	A	1.0	a
172904	173026	A	0.99997	bit
173048	173186	A	1.0	of
173208	173538	A	0.91	a
173624	174260	A	0.99988	change
174630	174994	A	0.99837	in
175032	175486	A	0.99983	mindset
175518	175666	A	1.0	at
175688	175874	A	1.0	first,
175912	176066	A	0.99999	but
176088	176286	A	0.65137	that's
176318	176562	A	0.99999	exactly
176616	176786	A	0.99999	what
176808	177226	A	0.52778	lecture
177278	177880	A	0.99	three
179370	180550	A	0.95844	introduced.
181130	181494	A	0.99998	This
181532	181734	A	0.99969	was
181772	182358	A	0.61793	all
182524	182950	A	0.99843	stuff,
183020	183640	A	0.96793	right?
184010	184326	B	0.99999	Could
184348	184438	B	1.0	you
184444	184662	B	0.74537	maybe
184716	184886	B	1.0	just
184908	185346	B	0.83084	unpack
185378	185526	B	0.99992	that
185548	185686	B	0.78	a
185708	185846	B	1.0	little
185868	186198	B	0.99999	bit?
186284	186486	B	1.0	What
186508	186646	B	0.99654	would
186668	186854	B	0.97066	it
186892	187142	B	0.99999	mean
187196	187798	B	1.0	for
187964	188486	B	1.0	information
188588	188806	B	1.0	to
188828	188966	B	1.0	be
188988	189522	B	0.99722	fungible?
189586	189814	B	0.99998	Or
189852	190114	B	0.80577	what's
190162	190470	B	0.99999	that
190540	190962	B	0.99988	stance
191026	191350	B	0.99999	like?
191420	191570	B	1.0	And
191580	191754	B	0.99021	then,
191792	191946	B	1.0	what
191968	192106	B	0.99998	does
192128	192218	B	0.99999	it
192224	192394	B	0.99999	mean
192432	192634	B	0.9979	for
192672	193018	B	1.0	information
193104	193306	B	1.0	to
193328	193466	B	1.0	be
193488	193686	B	0.99893	non
193718	194182	B	0.54466	fungible?
194246	194426	B	1.0	And
194448	194586	B	1.0	what
194608	194746	B	0.99994	is
194768	195002	B	0.99998	that
195056	195382	B	0.99983	stance
195446	196060	B	0.99949	like?
196830	197578	A	0.99973	Yeah,
197744	198118	A	0.67299	I'm
198134	198314	A	0.43971	out
198352	198794	A	1.0	to
198912	199194	A	0.99999	get
199232	199578	A	0.9992	there.
199664	200394	A	0.96239	So
200592	200858	A	0.99999	let
200864	200986	A	0.99999	me
201008	201206	A	0.99998	scroll
201238	201386	A	0.99997	down
201408	201498	A	1.0	the
201504	202198	A	0.99922	slides,
202374	202858	A	0.74413	because
202944	203250	A	0.74706	that's
203270	203626	A	0.99583	addressed
203658	203854	A	0.99912	here.
203892	204190	A	0.99936	So
204260	204494	A	0.99998	maybe
204532	204638	A	1.0	I
204644	204766	A	1.0	should
204788	204878	A	0.99986	have
204884	205098	A	0.93738	kept
205114	205486	A	0.9998	this
205588	205806	A	0.99349	in
205828	205918	A	1.0	the
205924	206234	A	0.99699	beginning,
206282	206446	A	1.0	but
206468	207306	A	0.94678	anyways,
207498	207946	A	0.99258	session
207978	208654	A	0.65	two
208852	209262	A	0.99975	talked
209316	209582	A	1.0	about
209636	209806	A	0.99962	how
209828	210158	A	0.99998	information
210244	210554	A	0.81846	theory
210602	210814	A	0.99999	makes
210852	211054	A	0.9991	this
211092	211294	A	0.99998	simple
211332	211486	A	1.0	and
211508	211886	A	0.99976	obvious.
211988	212640	A	0.98959	Okay.
213570	214320	A	0.55	And
214630	215186	A	0.98758	in
215288	215646	A	0.99912	session
215678	215874	A	1.0	three,
215912	216066	A	0.99995	we
216088	216274	A	0.57603	talk
216312	216706	A	1.0	about
216808	217342	A	0.99735	reference
217406	218030	A	0.95672	frames
218190	218754	A	0.85	and
218872	219582	A	0.9884	mechanistically,
219646	219826	A	1.0	how
219848	219986	A	0.70698	all
220008	220146	A	1.0	of
220168	220354	A	0.99949	this
220392	220980	A	0.99969	works.
222710	223122	A	0.99976	So,
223176	223394	A	0.99985	yeah,
223432	223646	A	0.99983	let's
223678	223922	A	1.0	address
223976	224194	A	1.0	that
224232	224482	A	0.99999	question
224536	224754	A	0.69	of
224792	224946	A	1.0	the
224968	225540	A	1.0	difference
228010	228760	A	0.74934	between
229130	229494	A	0.99876	hold
229532	229638	A	0.99985	on
229644	229766	A	1.0	1
229788	230022	A	0.79	second.
230076	230246	A	0.99054	Let
230268	230840	A	0.99945	me
231370	231734	A	0.99879	use
231772	231926	A	0.99998	my
231948	232178	A	0.99943	mouse
232194	232278	A	1.0	to
232284	232466	A	0.99781	scroll
232498	232694	A	0.79892	down
232732	233320	A	0.97456	here.
235530	235942	A	0.68458	Okay,
235996	236358	A	0.99921	so
236444	236738	A	0.9945	that's
236754	236838	A	1.0	a
236844	236966	A	0.99933	little
236988	237346	A	0.93064	faster.
237378	237960	A	0.98039	Right.
239370	240120	A	0.64992	Okay.
242110	242426	A	0.99095	Can
242448	242586	A	0.99993	you
242608	242886	A	0.4562	restate
242918	243114	A	0.99883	your
243152	243498	A	0.99403	question,
243584	244118	A	0.51215	Daniel?
244214	244474	A	0.99878	Yeah.
244512	244666	B	0.99996	What
244688	244826	B	0.92935	would
244848	245034	B	0.72794	it
245072	245322	B	0.99993	mean
245376	245642	B	0.99998	for
245696	246106	B	1.0	information
246208	246426	B	1.0	to
246448	246778	B	0.99999	be
246864	247430	B	0.92699	fungible
247510	247754	B	0.99999	or
247792	248102	B	0.91264	non
248166	248970	B	0.99885	fungible?
249470	249834	B	0.99999	People
249872	250026	B	0.99998	might
250048	250138	B	0.99999	be
250144	250486	B	0.76537	familiar
250518	250666	B	0.99997	with
250688	250826	B	0.99968	that
250848	250986	B	0.65558	in
251008	251194	B	1.0	the
251232	251814	B	0.98494	economic
251862	252310	B	0.9999	setting
252390	252586	B	0.99942	with
252608	252818	B	0.99898	non
252854	253194	B	0.92958	fungible
253242	253626	B	0.69029	tokens
253658	253806	B	0.99	and
253828	253918	B	1.0	all
253924	254046	B	0.6	of
254068	254254	B	1.0	that,
254292	254494	B	0.99999	but
254532	254638	B	0.99999	what
254644	254766	B	0.53869	are
254788	254974	B	0.99989	we
255012	255214	B	1.0	talking
255252	255454	B	1.0	about
255492	255694	B	0.99999	with
255732	256346	B	0.99988	informational
256378	257390	B	0.99873	fungibility?
258850	259166	A	1.0	I
259188	259374	A	0.99996	think
259412	259662	A	0.99987	it
259716	260078	A	0.99983	basically
260164	260414	A	1.0	comes
260452	260654	A	1.0	down
260692	261280	A	1.0	to
263170	263582	A	0.99998	whether
263636	263758	A	0.99999	you
263764	263838	A	0.99997	can
263844	264266	A	0.99749	replicate.
264298	264398	A	1.0	I
264404	264526	A	0.99999	mean,
264548	264854	A	0.99868	it's
264922	265298	A	0.99967	basically
265384	265586	A	1.0	the
265608	265890	A	0.99998	difference
265960	266194	A	1.0	between
266232	266606	A	0.99993	classical
266638	266786	A	1.0	and
266808	267166	A	0.9993	quantum
267198	267490	A	1.0	information.
267560	267746	A	1.0	As
267768	267858	A	1.0	far
267864	267986	A	0.77165	as
268008	268146	A	1.0	I
268168	268740	A	0.99998	know,
270630	271342	A	0.96822	fungible
271406	271778	A	1.0	information
271864	272114	A	0.99992	is
272152	272354	A	0.99999	everything
272392	272546	A	0.99998	that
272568	272706	A	0.99987	you
272728	272962	A	0.99996	can
273016	273282	A	0.99993	basically
273336	273554	A	0.99999	turn
273592	273746	A	0.99987	into
273768	273906	A	0.98	a
273928	274114	A	0.99998	message
274152	274354	A	1.0	of
274392	274686	A	0.96956	zeros
274718	274866	A	1.0	and
274888	275460	A	0.97	ones.
279430	279794	A	0.99796	How
279832	279986	A	0.99999	you
280008	280398	A	0.61358	transmit
280414	280594	A	0.70444	it
280632	280738	A	0.98	may
280744	280878	A	0.9915	be
280904	281382	A	0.98272	different,
281516	281766	A	1.0	the
281788	282070	A	0.99999	channel,
282140	282326	A	1.0	the
282348	282674	A	1.0	physical
282722	283218	A	0.94151	hardware
283314	283526	A	1.0	and
283548	283686	A	0.99998	so
283708	284038	A	0.99905	on.
284124	284374	A	0.63906	But
284412	284518	A	1.0	at
284524	284646	A	0.98	the
284668	284806	A	0.99998	end
284828	284918	A	1.0	of
284924	285046	A	1.0	the
285068	285640	A	0.99997	day,
286570	286978	A	0.99709	it's
286994	287174	A	0.99999	something
287212	287318	A	1.0	that
287324	287446	A	0.91895	you
287468	287558	A	0.99999	can
287564	287734	A	0.99887	write
287772	287878	A	0.99979	on
287884	287958	A	1.0	a
287964	288498	A	0.9998	boundary
288594	288854	A	1.0	and
288892	289094	A	0.99999	something
289132	289286	A	0.99999	that
289308	289446	A	0.99999	you
289468	290098	A	0.99998	can
290284	290806	A	0.62245	transmit
290838	290986	A	0.55	at
291008	291238	A	0.98035	zeros
291254	291386	A	0.79	and
291408	291738	A	0.63	ones.
291824	292166	A	0.99948	Whereas
292198	292534	A	0.99981	quantum
292582	293180	A	0.99999	information,
295230	295594	A	0.99992	you
295632	295974	A	0.9998	literally
296022	296186	A	0.99992	have
296208	296298	A	1.0	to
296304	296426	A	0.99947	send
296448	296586	A	0.65	the
296608	296934	A	0.98483	hardware,
296982	297146	A	1.0	the
297168	297306	A	0.9999	piece
297328	297466	A	1.0	of
297488	298054	A	0.99947	hardware,
298182	298426	A	1.0	the
298448	299350	A	0.99459	QRF.
299510	299786	A	1.0	At
299808	300090	A	0.99998	least
300160	300438	A	0.99969	that's
300454	300586	A	0.99998	how
300608	300746	A	1.0	I
300768	301050	A	0.99997	understand
301120	301402	A	0.99958	it.
301456	302060	A	0.99216	So
302370	302686	A	0.95	a
302708	302942	A	0.99995	simple
302996	303310	A	0.99999	answer
303380	303614	A	0.9997	might
303652	304240	A	0.99126	be
305970	306334	A	0.99883	that
306372	307070	A	0.99632	it's
307810	308366	A	0.99998	information
308468	308906	A	0.88358	encoded
308938	309086	A	0.61953	in
309108	309198	A	1.0	a
309204	309326	A	0.99994	piece
309348	309486	A	1.0	of
309508	309914	A	0.99997	software
309962	310234	A	0.78055	versus
310282	310398	A	1.0	a
310404	310526	A	0.99978	piece
310548	310686	A	1.0	of
310708	311114	A	0.99543	hardware.
311162	311662	A	0.99837	But
311796	312046	A	0.94	I
312068	312158	A	0.99909	don't
312164	312286	A	0.99996	think
312308	312494	A	0.99989	that
312532	313034	A	0.82961	analogy
313082	313342	A	0.94143	is
313396	314000	A	0.68561	perfect.
315750	316114	A	0.95842	Yeah.
316152	316366	B	0.99606	Dean,
316398	316498	B	0.99987	what
316504	316626	B	0.86492	do
316648	316738	B	0.99941	you
316744	317300	B	0.74528	think?
318710	319214	C	0.99714	Here's
319262	319474	C	0.99996	what
319512	319726	C	0.99972	I'm
319758	320014	C	0.99713	curious
320062	320754	C	0.99952	about.
320952	321314	C	1.0	And
321352	321890	C	0.99987	again,
322040	322306	C	0.9999	you
322328	322466	C	0.99999	guys
322488	322626	C	0.99995	can
322648	322786	C	1.0	help
322808	322946	C	0.99554	me
322968	323106	C	0.99999	with
323128	323602	C	0.76942	this.
323736	323986	C	0.99959	As
324008	324254	C	0.96737	opposed
324302	324466	C	1.0	to
324488	324862	C	0.9777	reference
324926	325390	C	0.99219	frames,
325470	325810	C	1.0	I
325880	326770	C	0.54801	oftentimes
328470	329054	C	0.98679	default
329102	329314	C	1.0	to
329352	329566	C	0.99058	frame
329598	329746	C	1.0	of
329768	330126	C	0.99994	reference.
330158	330306	C	1.0	And
330328	330466	C	1.0	I
330488	330626	C	0.99908	know
330648	330738	C	0.93143	that
330744	330866	C	0.93236	in
330888	330978	C	1.0	one
330984	331058	C	1.0	of
331064	331198	C	1.0	the
331224	331414	C	0.98063	live
331452	331986	C	0.51109	streams,
332098	332326	C	0.99949	what
332348	332486	C	1.0	I
332508	332694	C	0.99997	tried
332732	332886	C	1.0	to
332908	333046	C	0.99999	bring
333068	333254	C	0.92075	out
333292	333446	C	0.99994	was
333468	333654	C	1.0	the
333692	333990	C	1.0	idea
334060	334438	C	0.99997	that
334524	334726	C	0.99989	there
334748	334886	C	0.99997	was
334908	334998	C	0.99996	an
335004	335186	C	0.97657	ice
335218	335522	C	0.99936	cream
335586	335986	C	0.89752	cone
336018	336262	C	0.99992	looking
336316	336438	C	0.96	at
336444	336566	C	0.99892	an
336588	336786	C	0.99647	ice
336818	337122	C	0.99382	cream
337186	337794	C	0.99998	truck.
337922	338214	C	0.99	And
338252	338454	C	1.0	the
338492	338742	C	0.99999	question
338796	339014	C	0.99996	was
339052	339350	C	0.99987	always
339420	339702	C	0.99984	whether
339756	339926	C	0.96854	or
339948	340434	C	0.99773	not
340572	340874	C	0.99988	which
340912	341066	C	1.0	one
341088	341226	C	1.0	of
341248	341482	C	0.99995	those
341536	342042	C	1.0	two
342176	342998	C	0.94427	entities,
343174	343466	C	1.0	one
343488	343722	C	0.99928	is
343776	343946	C	0.99991	in
343968	344106	C	1.0	the
344128	344854	C	0.93592	foreground
344982	345274	C	1.0	and
345312	345466	C	1.0	one
345488	345626	C	0.9997	is
345648	345786	C	0.99989	in
345808	345898	C	1.0	the
345904	346262	C	0.79815	background.
346326	346506	C	0.97	And
346528	346618	C	0.99925	in
346624	346794	C	0.9381	this
346832	347174	C	0.96064	slide
347222	347578	C	0.9996	that
347664	348086	C	0.91591	Ander
348118	348314	C	0.99997	has
348352	348986	C	0.99658	up
349168	349514	C	1.0	the
349552	349850	C	0.99998	question
349920	350540	C	0.99815	is,
351070	351434	C	0.87756	is
351472	351674	C	1.0	the
351712	351926	C	0.99368	non
351958	352770	C	0.71699	fungibility
352870	353520	C	0.99992	because
355170	355630	C	0.99997	only
355700	355934	C	1.0	A
355972	356126	C	1.0	and
356148	356334	C	1.0	B
356372	356574	C	0.99988	can
356612	357178	C	0.98635	decide
357274	357920	C	0.99974	whether
359250	359806	C	0.85	the
359908	360490	C	0.96122	VA
360570	360814	C	0.99911	as
360852	361246	C	0.99994	seen
361348	361662	C	0.99994	by
361716	362078	C	1.0	B,
362164	362414	C	1.0	the
362452	362654	C	1.0	A
362692	362894	C	0.9997	is
362932	363790	C	0.99994	deeper
364690	365150	C	0.99995	into
365220	365934	C	0.99995	that
366132	366954	C	0.98896	image
367082	367434	C	0.63311	based
367492	367666	C	1.0	on
367688	368018	C	0.94769	our
368104	368446	C	0.99993	frame
368478	368626	C	1.0	of
368648	369150	C	1.0	reference.
369230	369474	C	1.0	And
369512	369666	C	1.0	the
369688	369922	C	0.85	B
369976	370194	C	0.99999	is
370232	370958	C	0.99997	closer
371054	371362	C	0.99999	or
371416	371634	C	0.99999	is
371672	371826	C	1.0	the
371848	372226	C	0.78	B
372328	372546	C	0.55	the
372568	372754	C	0.95	one
372792	373006	C	0.91007	that's
373038	373330	C	0.99999	actually
373400	374078	C	0.99998	deeper
374174	374434	C	1.0	and
374472	374674	C	1.0	the
374712	375010	C	1.0	A
375080	375266	C	0.99994	is
375288	375426	C	0.99	the
375448	375634	C	1.0	one
375672	375886	C	0.99999	that's
375918	376018	C	1.0	in
376024	376146	C	0.96	the
376168	376878	C	0.98769	foreground?
376974	377186	C	1.0	And
377208	377298	C	1.0	I
377304	377474	C	0.81057	was
377512	377886	C	1.0	wondering
377918	378210	C	0.54532	whether
378280	378562	C	1.0	the
378616	378930	C	1.0	idea
379000	379474	C	1.0	of
379592	379898	C	0.9955	non
379934	380738	C	0.94158	copyability
380834	381094	C	0.99982	is
381132	381382	C	0.99994	because
381436	381702	C	0.58	of
381756	382454	C	0.99936	that
382652	383154	C	0.99808	depth
383202	383366	C	1.0	of
383388	383670	C	0.9999	field
383740	384386	C	0.65097	aspect
384498	384774	C	0.99948	that
384812	385154	C	0.51242	cannot
385202	385414	C	1.0	be
385452	386178	C	0.64405	determined
386274	386674	C	0.96797	unless
386722	387026	C	0.99976	it's
387058	387682	C	0.99719	literally
387826	388402	C	0.52986	handed
388466	389080	C	0.53755	over
389710	389978	C	0.99	the
389984	390154	C	0.99991	way
390192	390346	C	0.97783	that
390368	390614	C	0.98669	Chris
390662	390874	C	0.99997	was
390912	391414	C	0.60814	describing
391462	392060	C	0.70461	it.
392830	393146	A	1.0	I
393168	393306	A	0.99998	think
393328	393526	A	0.99981	that's
393558	394140	A	0.99881	basically
394910	395660	A	0.78308	think
397870	398246	A	0.42663	I'm
398278	398378	A	0.99983	not
398384	398506	A	0.99969	sure
398528	398618	A	0.65438	that
398624	398698	A	1.0	I
398704	398826	A	0.9982	can
398848	399082	A	0.99996	answer
399136	399306	A	0.62055	your
399328	399562	A	0.99969	question,
399616	399978	A	0.9975	but
400064	400266	A	0.97	I
400288	400810	A	0.99547	think
400960	401226	A	0.64	I
401248	401386	A	0.83629	have
401408	401546	A	0.96	the
401568	401878	A	0.58831	feeling
401894	402134	A	0.99941	that
402192	402830	A	0.86476	Chris
403730	404046	A	0.9644	well,
404068	404346	A	0.99913	Chris
404378	404622	A	0.768	said
