"Start Time","End Time","Transcript"
"00;00;57;01","00;00;57;08","We're"
"00;00;57;08","00;00;57;10","a"
"00;00;57;10","00;00;58;07","participatory"
"00;00;58;07","00;00;58;20","lab,"
"00;00;58;20","00;00;59;09","an institute"
"00;00;59;09","00;00;59;15","that"
"00;00;59;15","00;00;59;20","is"
"00;00;59;20","00;01;00;20","communicating,"
"00;01;00;20","00;01;01;03","learning"
"00;01;01;03","00;01;01;06","and"
"00;01;01;06","00;01;01;28","practicing"
"00;01;01;28","00;01;02;11","applied"
"00;01;02;11","00;01;02;19","active"
"00;01;02;19","00;01;03;13","inference."
"00;01;03;13","00;01;03;22","Links"
"00;01;03;22","00;01;03;28","are on"
"00;01;03;28","00;01;04;22","the slide."
"00;01;05;04","00;01;06;01","This is recorded"
"00;01;06;01","00;01;06;10","in an"
"00;01;06;10","00;01;06;23","archived"
"00;01;06;23","00;01;07;17","livestream,"
"00;01;07;17","00;01;07;28","so"
"00;01;07;28","00;01;08;07","please"
"00;01;08;07","00;01;08;16","provide"
"00;01;08;16","00;01;08;19","us"
"00;01;08;19","00;01;09;07","with feedback"
"00;01;09;07","00;01;09;11","so"
"00;01;09;11","00;01;09;18","we can"
"00;01;09;18","00;01;10;01","improve"
"00;01;10;01","00;01;10;06","our"
"00;01;10;06","00;01;10;27","work."
"00;01;11;11","00;01;11;20","All"
"00;01;11;20","00;01;12;08","backgrounds"
"00;01;12;08","00;01;12;17","and"
"00;01;12;17","00;01;13;07","perspectives"
"00;01;13;07","00;01;13;12","are"
"00;01;13;12","00;01;14;09","welcome"
"00;01;14;10","00;01;14;25","and"
"00;01;14;25","00;01;15;03","we'll"
"00;01;15;03","00;01;15;06","be"
"00;01;15;06","00;01;15;27","following"
"00;01;15;27","00;01;16;06","video"
"00;01;16;06","00;01;16;16","etiquette"
"00;01;16;16","00;01;16;22","for"
"00;01;16;22","00;01;17;26","livestreams."
"00;01;18;22","00;01;18;29","Head"
"00;01;18;29","00;01;19;04","over"
"00;01;19;04","00;01;19;16","to"
"00;01;19;16","00;01;19;28","active"
"00;01;19;28","00;01;20;08","inference"
"00;01;20;08","00;01;20;29","storage"
"00;01;20;29","00;01;21;05","to"
"00;01;21;05","00;01;21;11","learn"
"00;01;21;11","00;01;21;23","more"
"00;01;21;23","00;01;22;06","about"
"00;01;22;06","00;01;22;15","other"
"00;01;22;15","00;01;23;11","projects"
"00;01;23;11","00;01;24;07","at the Institute"
"00;01;24;07","00;01;24;16","and"
"00;01;24;16","00;01;25;03","how to"
"00;01;25;03","00;01;25;27","participate"
"00;01;25;27","00;01;26;08","and"
"00;01;26;08","00;01;26;22","join"
"00;01;26;22","00;01;27;01","learning"
"00;01;27;01","00;01;29;06","groups."
"00;01;29;19","00;01;30;06","Today"
"00;01;30;06","00;01;31;03","in"
"00;01;31;03","00;01;31;19","extreme"
"00;01;31;19","00;01;33;11","47.1,"
"00;01;33;11","00;01;33;27","we're"
"00;01;33;27","00;01;34;16","continuing"
"00;01;34;16","00;01;34;25","to"
"00;01;34;25","00;01;35;05","learn"
"00;01;35;05","00;01;35;08","and"
"00;01;35;08","00;01;36;14","discuss"
"00;01;36;14","00;01;36;26","this"
"00;01;36;26","00;01;37;04","pair"
"00;01;37;04","00;01;37;06","of"
"00;01;37;06","00;01;37;21","papers"
"00;01;37;21","00;01;38;05","mentioned"
"00;01;38;05","00;01;38;26","earlier"
"00;01;38;26","00;01;39;08","and on"
"00;01;39;08","00;01;39;09","a"
"00;01;39;09","00;01;39;21","previous"
"00;01;39;21","00;01;40;05","video,"
"00;01;41;10","00;01;42;23","and"
"00;01;42;23","00;01;43;03","we're"
"00;01;43;03","00;01;43;12","going"
"00;01;43;12","00;01;44;01","to"
"00;01;44;01","00;01;44;13","open"
"00;01;44;13","00;01;44;19","with"
"00;01;44;19","00;01;44;28","some"
"00;01;44;28","00;01;45;23","introductions"
"00;01;45;23","00;01;46;08","and"
"00;01;46;08","00;01;46;24","then"
"00;01;46;24","00;01;47;13","probably"
"00;01;47;13","00;01;47;21","just"
"00;01;47;21","00;01;48;01","jump"
"00;01;48;01","00;01;48;14","in"
"00;01;48;14","00;01;49;21","wherever"
"00;01;49;21","00;01;50;09","anyone"
"00;01;50;09","00;01;50;21","has"
"00;01;50;21","00;01;52;03","a new"
"00;01;52;03","00;01;52;14","question"
"00;01;52;14","00;01;52;24","they'd like"
"00;01;52;24","00;01;52;27","to"
"00;01;52;27","00;01;53;09","ask."
"00;01;53;09","00;01;53;20","Maybe"
"00;01;53;20","00;01;54;01","ending"
"00;01;54;01","00;01;54;04","the"
"00;01;54;04","00;01;55;04","introductions"
"00;01;55;04","00;01;56;05","with Blue"
"00;01;56;05","00;01;56;11","so"
"00;01;56;11","00;01;56;14","that"
"00;01;56;14","00;01;57;12","you can"
"00;01;57;17","00;01;58;07","bring"
"00;01;58;07","00;01;59;03","a new"
"00;01;59;03","00;01;59;23","vector"
"00;01;59;23","00;02;00;08","into"
"00;02;00;08","00;02;00;13","the"
"00;02;00;13","00;02;01;24","conversation."
"00;02;01;24","00;02;02;16","So"
"00;02;02;22","00;02;02;28","I'm"
"00;02;02;28","00;02;03;15","Daniel."
"00;02;03;15","00;02;04;02","I'm a"
"00;02;04;02","00;02;04;16","researcher"
"00;02;04;16","00;02;04;18","in"
"00;02;04;18","00;02;05;24","California,"
"00;02;05;24","00;02;06;11","and"
"00;02;06;11","00;02;06;23","I'm"
"00;02;06;23","00;02;07;01","looking"
"00;02;07;01","00;02;07;08","forward"
"00;02;07;08","00;02;08;07","to"
"00;02;09;05","00;02;09;28","taking"
"00;02;09;28","00;02;11;20","a one"
"00;02;11;20","00;02;12;22","lens a"
"00;02;12;22","00;02;13;00","little"
"00;02;13;00","00;02;13;12","bit"
"00;02;13;12","00;02;15;03","to the paper,"
"00;02;15;03","00;02;16;20","which had"
"00;02;16;29","00;02;17;05","an"
"00;02;17;05","00;02;18;12","extended"
"00;02;18;12","00;02;18;24","dot"
"00;02;18;24","00;02;19;20","zero"
"00;02;19;20","00;02;19;28","as"
"00;02;19;28","00;02;20;03","there"
"00;02;20;03","00;02;20;10","is"
"00;02;20;10","00;02;20;15","so"
"00;02;20;15","00;02;20;20","much"
"00;02;20;20","00;02;20;24","to"
"00;02;20;24","00;02;21;20","learn"
"00;02;21;20","00;02;21;28","on"
"00;02;21;28","00;02;22;06","a few"
"00;02;22;06","00;02;22;10","of"
"00;02;22;10","00;02;22;20","these"
"00;02;22;20","00;02;23;03","angles"
"00;02;23;03","00;02;23;10","and so"
"00;02;23;10","00;02;23;16","much"
"00;02;23;16","00;02;23;19","to"
"00;02;23;19","00;02;23;24","kind"
"00;02;23;24","00;02;23;26","of"
"00;02;23;26","00;02;24;04","think"
"00;02;24;04","00;02;24;25","about"
"00;02;25;02","00;02;25;20","that."
"00;02;26;27","00;02;27;16","What is the"
"00;02;27;16","00;02;27;26","difference"
"00;02;27;26","00;02;28;25","between"
"00;02;29;15","00;02;29;25","being"
"00;02;29;25","00;02;29;27","in"
"00;02;29;27","00;02;30;20","the bathtub"
"00;02;30;20","00;02;30;23","and"
"00;02;30;23","00;02;30;28","then"
"00;02;30;28","00;02;31;02","in the"
"00;02;31;02","00;02;32;01","middle"
"00;02;32;01","00;02;32;28","of"
"00;02;33;13","00;02;33;16","the"
"00;02;33;16","00;02;34;00","paper"
"00;02;34;00","00;02;34;27","pair"
"00;02;35;02","00;02;35;16","versus,"
"00;02;35;16","00;02;35;22","for"
"00;02;35;22","00;02;36;05","example,"
"00;02;36;05","00;02;36;14","coming"
"00;02;36;14","00;02;36;24","into"
"00;02;36;24","00;02;37;05","it"
"00;02;37;07","00;02;37;12","to"
"00;02;37;12","00;02;38;05","contextualize"
"00;02;38;05","00;02;38;19","it or"
"00;02;38;19","00;02;38;26","trying"
"00;02;38;26","00;02;38;29","to"
"00;02;38;29","00;02;39;11","leave it"
"00;02;39;11","00;02;39;27","to apply"
"00;02;39;27","00;02;40;04","it."
"00;02;40;06","00;02;40;17","Something"
"00;02;40;17","00;02;40;20","in"
"00;02;40;20","00;02;41;01","between,"
"00;02;41;01","00;02;41;08","even"
"00;02;41;08","00;02;41;26","there."
"00;02;42;10","00;02;42;16","I'll"
"00;02;42;16","00;02;42;26","pass"
"00;02;42;26","00;02;43;13","it to"
"00;02;43;13","00;02;43;23","Dean."
"00;02;45;17","00;02;46;05","Thanks,"
"00;02;46;05","00;02;46;12","Dean."
"00;02;46;12","00;02;46;15","I'm"
"00;02;46;15","00;02;46;19","here"
"00;02;46;19","00;02;46;21","in"
"00;02;46;21","00;02;47;23","Calgary."
"00;02;49;03","00;02;49;23","I don't know"
"00;02;49;23","00;02;50;23","if"
"00;02;50;23","00;02;51;02","I don't"
"00;02;51;02","00;02;51;05","know"
"00;02;51;05","00;02;51;11","what"
"00;02;51;11","00;02;51;24","the DOT"
"00;02;51;24","00;02;52;15","one needs"
"00;02;52;15","00;02;52;22","because"
"00;02;52;22","00;02;52;26","we've"
"00;02;52;26","00;02;53;03","never"
"00;02;53;03","00;02;53;10","done"
"00;02;53;10","00;02;53;19","a dot"
"00;02;53;19","00;02;53;26","one"
"00;02;53;26","00;02;54;00","where"
"00;02;54;00","00;02;54;06","we've"
"00;02;54;06","00;02;54;12","tried"
"00;02;54;12","00;02;54;15","to"
"00;02;54;15","00;02;54;23","pull"
"00;02;54;23","00;02;55;28","two things"
"00;02;55;28","00;02;56;03","but"
"00;02;56;03","00;02;56;25","the proximal"
"00;02;56;25","00;02;57;01","and"
"00;02;57;01","00;02;57;10","see"
"00;02;57;10","00;02;58;13","what happens"
"00;02;58;13","00;02;58;22","because"
"00;02;58;22","00;02;59;10","sometimes"
"00;02;59;10","00;03;00;09","that's"
"00;03;00;13","00;03;00;24","fire"
"00;03;00;24","00;03;00;27","and"
"00;03;00;27","00;03;01;08","water"
"00;03;01;08","00;03;01;19","and"
"00;03;01;19","00;03;01;27","just"
"00;03;01;27","00;03;02;02","to get"
"00;03;02;02","00;03;03;17","a lot of steam"
"00;03;03;17","00;03;03;20","and"
"00;03;03;20","00;03;04;07","sometimes"
"00;03;04;07","00;03;04;25","it's"
"00;03;04;27","00;03;05;08","nature"
"00;03;05;08","00;03;05;12","on"
"00;03;05;12","00;03;05;28","glycerin"
"00;03;05;28","00;03;06;09","and"
"00;03;06;14","00;03;06;25","the whole thing"
"00;03;06;25","00;03;07;04","blows"
"00;03;07;04","00;03;07;10","up"
"00;03;07;10","00;03;07;19","on it."
"00;03;07;19","00;03;08;19","So I'm"
"00;03;08;19","00;03;08;25","kind"
"00;03;08;25","00;03;08;26","of"
"00;03;08;26","00;03;09;05","looking"
"00;03;09;05","00;03;09;13","forward"
"00;03;09;13","00;03;09;16","to"
"00;03;09;16","00;03;09;22","that."
"00;03;09;22","00;03;09;29","That's"
"00;03;09;29","00;03;10;04","kind"
"00;03;10;04","00;03;11;13","of the"
"00;03;11;13","00;03;11;24","risky"
"00;03;11;24","00;03;12;03","part"
"00;03;12;03","00;03;12;10","that I"
"00;03;12;10","00;03;12;16","think"
"00;03;12;16","00;03;12;20","is"
"00;03;12;20","00;03;12;26","kind"
"00;03;12;26","00;03;12;29","of"
"00;03;12;29","00;03;13;18","exciting."
"00;03;13;18","00;03;13;22","I'll"
"00;03;13;22","00;03;14;01","pass"
"00;03;14;01","00;03;14;04","it"
"00;03;14;04","00;03;14;08","over"
"00;03;14;08","00;03;14;10","to"
"00;03;14;10","00;03;14;29","student."
"00;03;17;05","00;03;17;15","Oh,"
"00;03;17;15","00;03;17;23","thanks."
"00;03;17;23","00;03;18;04","Dean"
"00;03;18;04","00;03;18;13","Yeah,"
"00;03;18;13","00;03;18;17","it's"
"00;03;18;17","00;03;18;27","Stephen"
"00;03;18;27","00;03;19;06","here"
"00;03;19;06","00;03;19;09","in"
"00;03;19;09","00;03;20;22","Toronto."
"00;03;21;16","00;03;22;00","I'm"
"00;03;22;00","00;03;22;08","really"
"00;03;22;08","00;03;22;24","curious"
"00;03;22;24","00;03;23;25","around"
"00;03;23;25","00;03;24;17","what"
"00;03;24;17","00;03;25;06","this"
"00;03;25;06","00;03;25;27","infusion"
"00;03;25;27","00;03;26;09","of two"
"00;03;26;09","00;03;27;06","different"
"00;03;27;06","00;03;28;28","approaches"
"00;03;28;28","00;03;29;09","to"
"00;03;29;09","00;03;29;21","active"
"00;03;29;21","00;03;30;17","movements"
"00;03;30;17","00;03;30;25","can"
"00;03;30;25","00;03;31;12","yield."
"00;03;31;12","00;03;32;20","So"
"00;03;33;14","00;03;33;22","what's"
"00;03;33;22","00;03;34;07","behind it"
"00;03;34;07","00;03;34;23","or"
"00;03;35;01","00;03;35;08","what's"
"00;03;35;08","00;03;36;14","behind"
"00;03;37;04","00;03;37;10","an"
"00;03;37;10","00;03;37;25","approach"
"00;03;37;25","00;03;38;02","of an"
"00;03;38;02","00;03;38;20","activism"
"00;03;38;20","00;03;38;24","that"
"00;03;38;24","00;03;39;06","brings"
"00;03;39;06","00;03;39;22","in"
"00;03;39;22","00;03;40;13","instrumental"
"00;03;40;13","00;03;40;22","is"
"00;03;41;03","00;03;42;12","an approach"
"00;03;42;12","00;03;42;19","that's"
"00;03;42;19","00;03;42;26","more"
"00;03;42;26","00;03;44;00","mathematically"
"00;03;44;00","00;03;44;15","focused,"
"00;03;44;15","00;03;44;24","bringing"
"00;03;44;24","00;03;44;28","in"
"00;03;44;28","00;03;45;16","realism."
"00;03;45;16","00;03;46;10","So I'm"
"00;03;46;10","00;03;47;02","curious"
"00;03;47;02","00;03;47;08","and"
"00;03;47;08","00;03;47;26","hopefully"
"00;03;47;26","00;03;48;01","it's"
"00;03;48;01","00;03;48;04","going"
"00;03;48;04","00;03;48;10","to be"
"00;03;48;10","00;03;48;22","useful"
"00;03;48;22","00;03;48;25","and"
"00;03;48;25","00;03;49;16","practical."
"00;03;49;16","00;03;49;22","I'm"
"00;03;49;22","00;03;49;25","going"
"00;03;49;25","00;03;49;27","to"
"00;03;49;27","00;03;50;05","pass"
"00;03;50;05","00;03;50;14","over"
"00;03;50;14","00;03;50;29","to"
"00;03;52;27","00;03;53;07","but."
"00;03;54;11","00;03;54;23","I am"
"00;03;54;23","00;03;55;07","blue,"
"00;03;55;07","00;03;56;04","I'm in"
"00;03;56;04","00;03;56;10","New"
"00;03;56;10","00;03;57;19","Mexico."
"00;03;57;29","00;04;00;09","I really enjoyed"
"00;04;00;09","00;04;01;00","reading."
"00;04;01;00","00;04;01;08","So"
"00;04;01;08","00;04;02;02","I've read"
"00;04;02;02","00;04;02;19","the"
"00;04;02;19","00;04;02;29","I think"
"00;04;02;29","00;04;03;17","we did"
"00;04;03;17","00;04;04;11","the"
"00;04;04;11","00;04;04;17","hip"
"00;04;04;17","00;04;05;00","Alito"
"00;04;05;00","00;04;05;15","paper"
"00;04;05;15","00;04;06;02","before"
"00;04;06;02","00;04;06;07","on"
"00;04;06;07","00;04;06;19","another"
"00;04;06;19","00;04;06;26","live"
"00;04;06;26","00;04;07;14","stream"
"00;04;07;29","00;04;08;21","and"
"00;04;08;21","00;04;09;03","as I've"
"00;04;09;03","00;04;09;08","read"
"00;04;09;08","00;04;09;13","that"
"00;04;09;13","00;04;09;21","one"
"00;04;09;21","00;04;10;03","before,"
"00;04;10;03","00;04;10;06","but"
"00;04;10;06","00;04;10;14","I really"
"00;04;10;14","00;04;10;25","enjoyed"
"00;04;10;25","00;04;11;08","reading"
"00;04;11;08","00;04;12;04","this"
"00;04;12;04","00;04;12;26","abduction"
"00;04;12;26","00;04;13;01","and"
"00;04;13;01","00;04;13;11","active"
"00;04;13;11","00;04;13;14","in"
"00;04;13;14","00;04;13;21","French"
"00;04;13;21","00;04;14;11","paper."
"00;04;14;11","00;04;16;09","I do not have"
"00;04;16;09","00;04;17;05","like a"
"00;04;17;05","00;04;17;17","strong"
"00;04;17;17","00;04;18;12","philosophy"
"00;04;18;12","00;04;19;10","background,"
"00;04;19;10","00;04;19;27","so"
"00;04;19;27","00;04;20;18","I kind of"
"00;04;20;18","00;04;20;25","come"
"00;04;20;25","00;04;21;00","at"
"00;04;21;00","00;04;21;09","this"
"00;04;21;09","00;04;21;14","like"
"00;04;21;14","00;04;21;25","with"
"00;04;21;25","00;04;22;00","what"
"00;04;22;00","00;04;22;11","is this?"
"00;04;22;11","00;04;22;16","But"
"00;04;22;16","00;04;22;25","is that"
"00;04;22;25","00;04;23;00","like,"
"00;04;23;00","00;04;23;11","I have to"
"00;04;23;11","00;04;24;00","go"
"00;04;24;00","00;04;24;19","search"
"00;04;24;19","00;04;25;14","Wikipedia"
"00;04;25;14","00;04;25;23","100"
"00;04;25;23","00;04;26;02","million"
"00;04;26;02","00;04;26;22","times"
"00;04;26;22","00;04;26;29","to"
"00;04;26;29","00;04;27;07","kind"
"00;04;27;07","00;04;27;16","of get"
"00;04;27;16","00;04;28;00","more"
"00;04;28;00","00;04;29;17","information"
"00;04;29;17","00;04;30;02","about."
"00;04;30;02","00;04;30;07","So"
"00;04;30;07","00;04;30;22","from a"
"00;04;30;22","00;04;32;04","philosophical"
"00;04;32;04","00;04;32;20","aspect."
"00;04;32;20","00;04;33;21","And so"
"00;04;33;21","00;04;34;03","one of"
"00;04;34;03","00;04;34;20","the key"
"00;04;34;20","00;04;35;09","things"
"00;04;35;09","00;04;35;15","like"
"00;04;35;15","00;04;35;23","where"
"00;04;35;23","00;04;36;02","I was"
"00;04;36;02","00;04;36;12","having"
"00;04;36;12","00;04;36;20","a hard"
"00;04;36;20","00;04;37;00","time,"
"00;04;37;00","00;04;37;06","like"
"00;04;37;06","00;04;37;21","locking"
"00;04;37;21","00;04;38;11","in"
"00;04;39;04","00;04;39;14","on"
"00;04;39;14","00;04;39;27","this"
"00;04;39;27","00;04;40;15","abduction"
"00;04;40;15","00;04;40;27","paper"
"00;04;40;27","00;04;41;07","active"
"00;04;41;07","00;04;41;10","in"
"00;04;41;10","00;04;41;18","France"
"00;04;41;18","00;04;41;21","and"
"00;04;41;21","00;04;42;23","abduction"
"00;04;42;23","00;04;44;01","is"
"00;04;45;09","00;04;46;19","why"
"00;04;46;19","00;04;47;07","do"
"00;04;47;07","00;04;47;23","first"
"00;04;47;23","00;04;47;29","in"
"00;04;47;29","00;04;49;09","blankets"
"00;04;49;09","00;04;49;17","like"
"00;04;49;17","00;04;50;08","like"
"00;04;50;21","00;04;50;28","they"
"00;04;50;28","00;04;51;16","presented"
"00;04;51;16","00;04;52;06","the authors"
"00;04;52;06","00;04;52;24","presented it"
"00;04;52;24","00;04;53;08","as if"
"00;04;53;08","00;04;53;12","the"
"00;04;53;12","00;04;53;23","first"
"00;04;53;23","00;04;54;01","like"
"00;04;54;01","00;04;54;10","it's"
"00;04;54;10","00;04;55;00","like"
"00;04;55;01","00;04;55;29","necessitate"
"00;04;55;29","00;04;56;26","a realist"
"00;04;56;26","00;04;58;01","perspective."
"00;04;58;01","00;04;58;15","So so"
"00;04;58;15","00;04;58;23","is"
"00;04;58;23","00;04;58;28","that"
"00;04;58;28","00;04;59;12","true?"
"00;04;59;12","00;04;59;21","And if"
"00;04;59;21","00;05;00;08","so,"
"00;05;00;08","00;05;01;16","why is"
"00;05;01;16","00;05;03;23","that?"
"00;05;05;05","00;05;05;09","All"
"00;05;05;09","00;05;05;22","right."
"00;05;06;20","00;05;06;28","Thanks,"
"00;05;06;28","00;05;07;25","everyone."
"00;05;08;02","00;05;08;17","So two"
"00;05;08;17","00;05;09;21","threads"
"00;05;09;26","00;05;10;08","blew"
"00;05;10;08","00;05;10;21","in"
"00;05;10;21","00;05;11;00","what"
"00;05;11;00","00;05;12;05","I heard"
"00;05;12;05","00;05;12;12","and"
"00;05;12;12","00;05;12;20","I think"
"00;05;12;20","00;05;13;02","two"
"00;05;13;02","00;05;13;13","areas"
"00;05;13;13","00;05;13;20","for us"
"00;05;13;20","00;05;13;22","to"
"00;05;13;22","00;05;13;29","kind"
"00;05;13;29","00;05;14;13","of"
"00;05;15;24","00;05;16;25","get on"
"00;05;16;25","00;05;17;01","the"
"00;05;17;01","00;05;17;15","slide"
"00;05;17;15","00;05;17;29","and"
"00;05;17;29","00;05;18;14","see at"
"00;05;18;14","00;05;19;24","the same time."
"00;05;19;24","00;05;20;17","So one"
"00;05;20;17","00;05;20;25","was"
"00;05;20;25","00;05;20;29","like"
"00;05;20;29","00;05;21;07","different"
"00;05;21;07","00;05;21;22","approaches"
"00;05;21;22","00;05;21;27","that"
"00;05;21;27","00;05;22;05","can be"
"00;05;22;05","00;05;22;22","taken"
"00;05;22;22","00;05;23;01","both"
"00;05;23;01","00;05;23;09","by an"
"00;05;23;09","00;05;23;27","individual,"
"00;05;23;27","00;05;24;03","like"
"00;05;24;03","00;05;24;13","different"
"00;05;24;13","00;05;25;09","backgrounds"
"00;05;25;09","00;05;26;03","in"
"00;05;26;03","00;05;26;21","different"
"00;05;26;21","00;05;27;05","fields"
"00;05;27;05","00;05;27;07","or"
"00;05;27;07","00;05;28;15","disciplines,"
"00;05;28;23","00;05;29;00","and"
"00;05;29;00","00;05;29;08","then"
"00;05;29;08","00;05;29;23","kind"
"00;05;29;23","00;05;29;28","of"
"00;05;29;28","00;05;30;06","going"
"00;05;30;06","00;05;30;17","beyond"
"00;05;30;17","00;05;30;23","one"
"00;05;30;23","00;05;31;07","person's"
"00;05;31;07","00;05;31;20","just"
"00;05;31;20","00;05;32;05","learning"
"00;05;32;05","00;05;33;14","trajectory"
"00;05;33;14","00;05;33;23","and"
"00;05;33;23","00;05;34;04","thinking,"
"00;05;34;04","00;05;34;09","what"
"00;05;34;09","00;05;34;12","are"
"00;05;34;12","00;05;35;00","the"
"00;05;35;21","00;05;36;13","conceptual"
"00;05;36;13","00;05;36;27","approaches"
"00;05;36;27","00;05;37;00","that"
"00;05;37;00","00;05;37;07","we can"
"00;05;37;07","00;05;38;01","take"
"00;05;38;11","00;05;39;07","to, in"
"00;05;39;07","00;05;39;12","this"
"00;05;39;12","00;05;39;22","case,"
"00;05;39;22","00;05;40;02","active"
"00;05;40;02","00;05;41;06","inference."
"00;05;41;10","00;05;41;17","But"
"00;05;41;17","00;05;42;03","this might"
"00;05;42;03","00;05;42;25","be"
"00;05;43;13","00;05;44;00","studying"
"00;05;44;00","00;05;44;08","active"
"00;05;44;08","00;05;44;20","inference"
"00;05;44;20","00;05;44;27","and"
"00;05;44;27","00;05;45;15","applying"
"00;05;45;15","00;05;45;25","acting"
"00;05;45;25","00;05;46;04","inference"
"00;05;46;04","00;05;46;09","kind"
"00;05;46;09","00;05;46;11","of"
"00;05;46;11","00;05;46;18","both"
"00;05;46;18","00;05;46;29","ways"
"00;05;46;29","00;05;47;12","might"
"00;05;47;12","00;05;47;17","come"
"00;05;47;17","00;05;48;11","into play."
"00;05;48;15","00;05;48;23","And"
"00;05;48;23","00;05;49;06","then"
"00;05;49;06","00;05;49;22","the"
"00;05;49;22","00;05;50;08","question"
"00;05;50;08","00;05;50;23","of the"
"00;05;50;23","00;05;51;02","first"
"00;05;51;02","00;05;51;04","and"
"00;05;51;04","00;05;53;00","blankets,"
"00;05;53;00","00;05;53;15","something"
"00;05;53;15","00;05;53;24","like"
"00;05;53;24","00;05;54;04","what"
"00;05;54;04","00;05;54;27","aspects"
"00;05;54;27","00;05;55;07","of"
"00;05;55;07","00;05;55;28","what"
"00;05;56;21","00;05;58;09","enable"
"00;05;59;16","00;06;00;02","a"
"00;06;00;02","00;06;00;29","situational"
"00;06;00;29","00;06;02;04","realist"
"00;06;02;04","00;06;03;23","or a"
"00;06;03;23","00;06;04;20","instrumentalist?"
"00;06;04;20","00;06;04;25","Just"
"00;06;04;25","00;06;05;13","why"
"00;06;05;13","00;06;05;17","are"
"00;06;05;17","00;06;06;13","people"
"00;06;06;13","00;06;06;24","taking"
"00;06;06;24","00;06;06;26","the"
"00;06;06;26","00;06;07;08","stances"
"00;06;07;08","00;06;07;12","they're"
"00;06;07;12","00;06;07;29","taking"
"00;06;09;19","00;06;10;12","on"
"00;06;10;12","00;06;10;17","a"
"00;06;10;17","00;06;10;25","given"
"00;06;10;25","00;06;12;10","situation"
"00;06;12;11","00;06;12;27","sometimes"
"00;06;12;27","00;06;13;03","even"
"00;06;13;03","00;06;13;14","like"
"00;06;13;24","00;06;14;06","mixed"
"00;06;14;06","00;06;14;20","across"
"00;06;14;20","00;06;15;01","different"
"00;06;15;01","00;06;15;20","contexts"
"00;06;15;20","00;06;15;24","for"
"00;06;15;24","00;06;16;05","the same"
"00;06;16;05","00;06;16;16","system,"
"00;06;16;16","00;06;16;23","they might"
"00;06;16;23","00;06;16;29","use"
"00;06;16;29","00;06;17;07","one or"
"00;06;17;07","00;06;17;18","another"
"00;06;17;18","00;06;17;20","or"
"00;06;17;20","00;06;17;28","something"
"00;06;17;28","00;06;18;03","like"
"00;06;18;03","00;06;18;19","that."
"00;06;18;24","00;06;19;13","Steven"
"00;06;21;07","00;06;21;13","And"
"00;06;21;13","00;06;21;20","this"
"00;06;21;20","00;06;22;01","brings"
"00;06;22;01","00;06;22;14","action"
"00;06;22;14","00;06;22;22","back"
"00;06;22;22","00;06;23;00","into"
"00;06;23;00","00;06;23;02","the"
"00;06;23;02","00;06;23;19","equation."
"00;06;23;19","00;06;24;02","I sense"
"00;06;24;02","00;06;24;07","that"
"00;06;24;07","00;06;24;23","action"
"00;06;24;23","00;06;25;06","is"
"00;06;25;06","00;06;25;13","quite"
"00;06;25;13","00;06;25;27","important"
"00;06;25;27","00;06;26;24","because"
"00;06;27;02","00;06;27;07","the"
"00;06;27;07","00;06;27;22","idea"
"00;06;27;22","00;06;28;01","of"
