start	end	speaker	wconfidence	text
52262	52544	A	1.0	the
52582	52876	A	0.74894	beginning
52908	53056	A	1.0	of
53078	53216	A	1.0	the
53238	53712	A	0.97	21st
53766	54560	A	0.42259	century.
55400	56196	A	0.98	And
56378	57012	A	0.99992	discuss
57146	57830	A	0.57	the
58200	58800	A	0.99492	slow
58880	59860	A	0.99886	development
60760	61172	A	0.99996	from
61226	61664	A	0.99997	classical
61712	62980	A	0.72582	thermodynamics
63560	64356	A	1.0	of
64538	65104	A	0.9975	quantum
65152	65652	A	0.88842	information
65786	66660	A	0.55923	theory
67420	68170	A	0.98	and
68700	69588	A	0.93738	specifically
69684	70836	A	0.99881	characterizing
70948	71444	A	0.99968	quantum
71492	71992	A	0.99989	information
72126	72920	A	0.99971	theory
73580	74424	A	0.99931	as
74622	74984	A	0.96	a
75022	75320	A	1.0	new
75390	75720	A	0.66624	kind
75790	76024	A	1.0	of
76062	76840	A	0.98533	physics
77740	78490	A	0.99998	that
79180	80320	A	0.5583	describes
80420	81032	A	0.99567	systems
81096	81324	A	0.8015	that
81362	81564	A	0.99996	are
81602	82456	A	0.76847	exchanging
82568	83500	A	0.94568	finite
83840	84680	A	0.9994	amounts
84760	85148	A	1.0	of
85234	85896	A	0.74529	discretely
85928	86504	A	0.94773	encoded
86552	87150	A	0.97062	information
88080	88636	A	0.99998	across
88738	89100	A	0.51164	some
89170	89864	A	0.9987	intervening
89912	90808	A	0.99995	boundary.
90984	91710	A	0.73	And
92500	92816	A	0.90552	so
92838	92976	A	0.99929	we
92998	93184	A	0.99276	use
93222	93424	A	0.99998	this
93462	94144	A	0.99999	very
94342	95484	A	0.90215	conventional
95612	96300	A	0.51583	graphical
96380	97200	A	0.8098	notation
97860	98610	A	0.96	of
98980	99728	A	0.81	two
99894	100416	A	0.61222	agents
100518	100976	A	0.95402	or
101078	101532	A	0.99997	physical
101596	102560	A	0.9893	systems,
103220	103724	A	0.65779	alice
103772	103936	A	1.0	and
103958	104284	A	0.99992	Bob,
104332	104544	A	0.57	A
104582	104736	A	1.0	and
104758	105330	A	0.96	B,
105960	106324	A	0.98824	that
106362	106660	A	0.99997	are
106730	107520	A	0.92202	exchanging
107600	108084	A	0.99999	energy
108202	108870	A	0.85	and
109480	110230	A	0.99999	information
111000	111556	A	1.0	across
111658	112020	A	0.99996	some
112090	112928	A	0.95722	boundary.
113104	113540	A	1.0	And
113610	113844	A	0.58	I
113882	114132	A	0.99957	always
114186	114404	A	0.99993	use
114442	114596	A	1.0	a
114618	114896	A	0.99992	blue
114928	115376	A	0.89049	ellipse
115408	115604	A	0.99994	like
115642	115892	A	1.0	this
115946	116164	A	1.0	to
116202	116704	A	0.99995	indicate
116752	116964	A	1.0	the
117002	117772	A	0.99989	boundary
117936	118312	A	0.99993	that
118366	119172	A	0.85187	separates
119316	119764	A	0.99749	Alice
119812	120024	A	0.9595	from
120062	120680	A	0.82503	Bob.
121500	122152	A	0.97	And
122286	122632	A	0.99996	this
122686	123336	A	0.98	new
123518	124132	A	0.9943	approach
124196	124810	A	1.0	to
126220	126852	A	0.99996	physics
126916	127192	A	0.53632	is
127246	127764	A	0.99832	entirely
127812	128884	A	0.96304	topological.
129012	129444	A	0.61556	It's
129492	129704	A	1.0	not
129742	130840	A	0.99994	geometric.
131360	131916	A	0.99993	So
132018	132236	A	1.0	it
132258	132632	A	0.64058	doesn't
132696	133160	A	0.90502	assume
133240	133436	A	1.0	a
133458	133884	A	1.0	particular
134002	134632	A	0.96013	background
134696	135816	A	0.45259	spacetime,
136008	136412	A	0.55181	so
136466	136684	A	1.0	it
136722	137064	A	0.9999	doesn't
137112	137512	A	0.85444	assume
137576	137804	A	1.0	that
137842	138184	A	0.86742	Alice
138232	138396	A	1.0	and
138418	138696	A	0.99884	Bob
138728	138972	A	0.88952	are
139026	139608	A	0.98653	spatially
139704	140620	A	0.34079	separated.
141920	142728	A	0.81	And
142914	143504	A	0.99999	so
143622	143952	A	0.99898	this
144006	144272	A	0.99995	makes
144326	144928	A	0.97662	it
145094	145472	A	0.55	a
145526	146224	A	0.99995	very
146422	146976	A	0.99999	different
147078	147344	A	1.0	kind
147382	147584	A	1.0	of
147622	148284	A	0.96424	theory
148412	148848	A	0.97188	from
148934	149580	A	0.7601	classical
149660	150144	A	0.99997	information
150262	151196	A	0.86929	theory
151388	151744	A	0.80631	in
151782	152032	A	0.91186	that
152086	152304	A	1.0	the
152342	152930	A	0.9752	channel
153700	154064	A	0.99999	that
154102	154524	A	0.99943	separates
154572	154968	A	0.8317	Alice
155004	155204	A	0.99934	from
155242	155776	A	0.99988	Bob,
155888	156308	A	0.99979	this
156394	157220	A	0.64478	boundary
157560	157924	A	0.99699	is
157962	158116	A	1.0	a
158138	158464	A	0.99998	boundary
158512	158772	A	0.99935	in
158826	159092	A	0.99958	state
159146	159844	A	0.99557	space.
160042	160496	A	0.99947	It's
160528	160676	A	0.99991	not
160698	160884	A	0.66	a
160922	161312	A	0.99982	boundary
161376	161844	A	0.56401	in
161962	162724	A	0.99999	some
162922	163792	A	0.58907	geometric
163856	164336	A	0.99643	embedding
164368	164612	A	0.99944	space.
164666	164836	A	0.76	And
164858	165044	A	0.6333	in
165082	165428	A	0.99999	particular,
165514	165856	A	0.61924	it's
165888	166470	A	0.99995	not
167420	167688	A	0.58	a
167694	168132	A	0.99858	boundary
168196	168376	A	0.99995	or
168398	168536	A	0.55	a
168558	168888	A	0.70853	channel
168974	169316	A	0.99988	that's
169348	169924	A	0.3295	embedded
169972	170328	A	0.55308	in
170414	170616	A	1.0	a
170638	170824	A	1.0	three
170862	171364	A	0.96215	dimensional
171412	171720	A	0.99994	space
171790	172024	A	0.99999	that
172062	172564	A	0.78455	separates
172612	172964	A	0.94629	Alice
173012	173176	A	0.99934	from
173198	173880	A	0.97376	Bob.
175500	176344	A	0.62006	So
176542	176916	A	0.9602	that's
176948	177096	A	0.99982	what
177118	177304	A	1.0	we
177342	177544	A	0.99999	talked
177582	178024	A	0.9999	about
178142	178520	A	0.58366	last
178590	179210	A	0.9997	time
179840	180684	A	0.64	and
180882	181724	A	0.65	today
181922	182236	A	0.99992	what
182258	182348	A	1.0	I
182354	182524	A	0.66565	want
182562	182764	A	1.0	to
182802	183244	A	1.0	discuss
183362	183884	A	0.88976	is
184002	184428	A	0.99251	how
184514	185340	A	0.9157	quantum
186000	186888	A	0.69201	theory
187064	187404	A	0.99998	in
187442	188030	A	0.70275	particular
189680	190092	A	0.99999	makes
190146	190412	A	0.56199	this
190466	190876	A	0.99707	idea
190978	191244	A	1.0	of
191282	191704	A	0.99999	physics
191752	191964	A	0.83758	as
192002	192108	A	1.0	a
192114	192484	A	0.68014	theory
192552	192736	A	1.0	of
192758	193436	A	0.83077	communication
193548	193872	A	0.99999	simple
193926	194144	A	0.76	and
194182	194770	A	0.99999	obvious.
196260	197010	A	0.96	And
198020	198556	A	0.99996	quantum
198588	198924	A	0.99995	theory,
198972	199088	A	1.0	of
199094	199312	A	0.78505	course,
199366	199584	A	1.0	has
199622	199776	A	1.0	a
199798	200252	A	0.78901	terrible
200316	201280	A	0.87602	reputation
203060	203472	A	1.0	of
203526	203888	A	1.0	being
203974	204764	A	0.49313	abstruse
204812	205036	A	1.0	and
205078	205872	A	0.9977	mathematically
205936	206592	A	0.6362	incredibly
206656	207620	A	0.72782	complicated
207960	208564	A	0.8	and
208682	209888	A	0.60571	counterintuitive
209984	210292	A	1.0	and
210346	210660	A	0.99998	difficult
210730	210964	A	0.98	to
211002	211590	A	0.66296	understand.
212520	213270	A	0.83	And
214200	214564	A	0.99995	this
214602	214804	A	0.99998	is
214842	215188	A	0.76	one
215274	215920	A	0.85015	quotation
216000	216816	A	0.97929	among
217008	217750	A	0.83356	many
219100	219512	A	0.99995	from
219566	219956	A	0.97055	leading
219988	220756	A	0.98164	physicists
220868	221316	A	0.80695	pointing
221348	221592	A	0.99999	out
221646	222104	A	0.99868	that
222222	222628	A	0.99977	quantum
222644	223204	A	0.98777	mechanics
223252	223464	A	0.99991	is
223502	223800	A	0.99913	just
223870	224490	A	0.99997	difficult.
225900	226650	A	1.0	And
228460	228824	A	0.95461	as
228862	229016	A	1.0	you
229038	229368	A	0.93918	probably
229454	229860	A	0.99782	know,
229950	230344	A	0.82603	there's
230392	230604	A	0.97337	an
230642	231230	A	0.9999	entire
231840	232984	A	0.86641	philosophical
233112	233928	A	0.52055	industry
234024	234476	A	1.0	of
234578	235400	A	0.82439	interpretations
235480	235724	A	1.0	of
235762	236104	A	0.99978	quantum
236152	236888	A	0.99995	theory
237064	237452	A	0.87439	that
237506	237676	A	0.9999	try
237698	237836	A	0.77	to
237858	238044	A	0.94948	make
238082	238332	A	0.84965	sense
238386	238556	A	1.0	of
238578	238764	A	0.99905	its
238802	239580	A	0.99833	ontology.
242900	243312	A	0.73773	What
243366	243584	A	0.99	I
243622	243964	A	0.50335	don't
244012	244224	A	0.99998	want
244262	244416	A	1.0	to
244438	244624	A	1.0	do
244662	245200	A	1.0	today
245350	245760	A	0.99997	is
245830	246064	A	0.99994	try
246102	246304	A	1.0	to
246342	246892	A	0.55999	introduce
246956	247580	A	0.99256	quantum
247660	248720	A	0.66826	mechanics.
250340	250796	A	0.98645	We're
250828	251120	A	0.99945	not
251190	251810	A	1.0	doing
252500	252864	A	1.0	any
252902	253104	A	1.0	of
253142	253730	A	0.65274	this.
254740	255116	A	0.99996	Some
255158	255268	A	1.0	of
255274	255396	A	1.0	you
255418	255604	A	0.99646	will
255642	256192	A	0.94811	recognize
256256	256532	A	0.99987	this
256586	256804	A	0.99819	as
256842	257044	A	0.64	the
257082	257392	A	0.99903	table
257456	257636	A	1.0	of
257658	258272	A	0.45197	contents,
258336	258516	A	1.0	the
258538	258724	A	1.0	first
258762	258916	A	1.0	part
258938	259076	A	0.83	of
259098	259236	A	1.0	the
259258	259552	A	0.99194	table
259616	259796	A	1.0	of
259818	260384	A	0.68572	contents
260432	260932	A	1.0	of
261066	261556	A	0.96	the
261658	262144	A	1.0	famous
262192	262624	A	0.9996	textbook
262672	262884	A	0.68127	by
262922	263376	A	0.80774	Landau
263408	263556	A	0.98	and
263578	264660	A	0.21502	Lifts.
265080	265636	A	0.75312	How
265738	266004	A	0.57173	that?
266042	266244	A	0.84385	If
266282	266496	A	0.79541	you've
266528	267244	A	0.99999	studied
267392	267796	A	0.99962	quantum
267828	268600	A	0.91334	theory
269180	269880	A	0.99915	in
270030	270804	A	0.95825	undergraduate
270852	271064	A	0.99986	or
271102	271556	A	0.99824	graduate
271588	271880	A	0.9985	school,
271950	272244	A	0.55522	you've
272292	272648	A	0.99996	probably
272734	273076	A	0.72643	dealt
273108	273256	A	1.0	with
273278	273416	A	0.89	a
273438	273892	A	0.99973	textbook
273956	274532	A	0.39933	structured
274596	274824	A	0.99959	much
274862	275064	A	0.99999	like
275102	275304	A	1.0	this
275342	275930	A	1.0	one.
276300	276664	A	1.0	And
276702	277044	A	0.99965	you've
277092	277448	A	0.99999	probably
277534	277880	A	0.99999	been
277950	278436	A	0.90682	introduced
278468	278664	A	0.99	to
278702	279076	A	0.99913	quantum
279108	279984	A	0.99884	mechanics
280132	280444	A	0.87498	as
280482	280636	A	0.9379	it
280658	280892	A	0.99986	was
280946	281640	A	0.94245	traditionally
281720	282780	A	0.84189	conceived
283120	283772	A	0.99997	as
283906	284472	A	0.99987	essentially
284536	284764	A	0.74	a
284802	285432	A	0.99922	mechanical
285496	285864	A	0.9995	theory,
285912	286076	A	1.0	a
286098	286424	A	0.99751	theory
286472	286732	A	1.0	of
286786	287500	A	0.61813	motion
288720	289180	A	1.0	with
289250	289704	A	0.70981	wave
289752	290632	A	0.99866	functions
290776	291228	A	1.0	and
291314	291864	A	0.94466	particle
291912	292820	A	0.47342	representations
292920	293232	A	0.99	and
293286	293456	A	0.9997	on
293478	293616	A	0.79	and
293638	293776	A	0.97052	on
293798	293936	A	0.95	and
293958	294530	A	0.78752	on.
294980	295488	A	0.92022	So
295574	295788	A	0.9999	we're
295804	295936	A	0.99903	not
295958	296096	A	0.83692	going
296118	296208	A	1.0	to
296214	296384	A	0.84633	try
296422	296576	A	1.0	to
296598	296784	A	0.97136	do
296822	297264	A	0.85145	that.
297382	298050	A	0.56699	This
298820	299184	A	0.99996	what
299222	299388	A	0.99983	we're
299404	299584	A	0.92672	going
299622	299728	A	1.0	to
299734	299904	A	0.99999	do
299942	300288	A	0.99999	instead
300374	300672	A	0.54809	is
300726	301040	A	0.99997	take
301110	301392	A	1.0	a
301446	302050	A	0.99995	completely
303380	304032	A	0.99996	information
304166	305032	A	0.4749	theoretic
305116	305940	A	0.99909	approach,
307000	307364	A	1.0	and
307402	307568	A	0.99964	we're
307584	307668	A	0.99927	going
307674	307844	A	1.0	to
307882	308820	A	0.8155	characterize
310120	310868	A	0.99914	information
311034	311748	A	0.52789	transfer
311914	312196	A	0.99999	in
312218	312404	A	0.93	a
312442	312912	A	0.90609	quantum
312976	313664	A	0.83157	theoretic
313712	314164	A	1.0	way
314282	314660	A	1.0	without
314730	315012	A	0.53579	any
315066	315584	A	0.99525	assumptions
315632	315940	A	0.99993	about
316010	316624	A	0.91222	mechanics
316672	316884	A	1.0	or
316922	317564	A	0.76717	spacetime
317632	317816	A	0.99977	or
317838	318024	A	0.99992	any
318062	318216	A	1.0	of
318238	318810	A	0.99999	that.
319500	319912	A	0.99992	So
319966	320232	A	0.99998	instead
320286	320504	A	1.0	of
320542	321130	A	0.99998	this,
321500	321908	A	0.71498	we're
321924	322056	A	0.99644	going
322078	322216	A	1.0	to
322238	322424	A	1.0	ask
322462	322664	A	0.51	a
322702	323048	A	0.99991	simple
323134	323770	A	0.99991	question.
325580	325896	A	0.99988	By
325918	326056	A	1.0	a
326078	326312	A	0.99994	simple
326366	326584	A	0.99996	question,
326622	326776	A	0.51	I
326798	326984	A	0.97957	mean
327022	327224	A	0.82	a
327262	327560	A	0.99999	question
327630	328008	A	1.0	with
328094	328344	A	1.0	just
328382	328536	A	1.0	a
328558	328792	A	0.99989	yes
328846	329160	A	0.99684	no
329230	329800	A	1.0	answer
329950	330420	A	0.64026	or
330510	330716	A	0.99	a
330738	331320	A	0.62679	binary
331400	331788	A	0.99986	answer.
331874	332172	A	0.99983	So
332226	332504	A	0.99878	let's
332552	332860	A	0.99998	use
332930	333116	A	0.99987	up
333138	333276	A	0.99883	or
333298	333870	A	0.94925	down
334240	334892	A	0.97592	as
335026	335420	A	0.63023	our
335490	335916	A	0.99996	example
336018	336670	A	0.9999	question.
338160	338524	A	0.56	And
338562	338764	A	0.99	to
338802	339004	A	0.9843	ask
339042	339244	A	0.65083	this
339282	339580	A	0.69605	question,
339650	339836	A	0.9992	we
339858	340092	A	0.80648	need
340146	340412	A	1.0	three
340466	341070	A	1.0	things.
342340	342752	A	0.89	First,
342806	342976	A	0.99956	we
342998	343184	A	0.99994	need
343222	343472	A	0.99995	an
343526	343932	A	0.99564	action.
343996	344176	A	0.99987	We
344198	344336	A	0.99997	need
344358	344544	A	1.0	a
344582	344784	A	0.99998	way
344822	345120	A	1.0	of
345190	345568	A	0.65092	asking
345654	346290	A	0.51153	it.
347860	348176	A	0.99999	For
348198	348576	A	0.80122	example,
348678	348992	A	0.99997	making
349046	349216	A	1.0	a
349238	349760	A	0.85195	sound
349910	350224	A	0.99993	or
350262	350652	A	0.87232	writing
350716	351040	A	0.99978	something
351110	351730	A	0.92164	down.
353860	354368	A	1.0	Second,
354454	354656	A	0.99997	we
354678	355164	A	0.96253	need
355302	355604	A	1.0	a
355642	356132	A	0.76183	thing
356266	356516	A	1.0	that
356538	356724	A	0.53306	we
356762	357012	A	0.99998	can
357066	357380	A	0.99996	ask
357450	357684	A	1.0	the
357722	358212	A	0.93505	question
358346	359030	A	0.79	of.
360040	360356	A	0.99999	We
360378	360660	A	0.70769	need
360730	360964	A	0.99997	an
361002	361600	A	0.61437	environment
361680	362020	A	0.52484	or
362090	362276	A	1.0	a
362298	362724	A	0.54608	friend
362842	363172	A	0.99998	or
363226	363396	A	1.0	the
363418	363604	A	0.99292	rest
363642	363796	A	1.0	of
363818	363956	A	1.0	the
363978	364356	A	0.99999	world
364458	364772	A	0.99989	or
364826	365044	A	0.72333	an
365082	365696	A	0.98327	experimental
365728	366820	A	0.66585	apparatus
367740	368248	A	0.55196	or
368334	368680	A	0.99998	some
368750	369080	A	0.99998	system
369150	369336	A	0.99998	or
369358	369928	A	0.98515	other
370094	370424	A	0.99999	that
370462	370756	A	0.99976	we're
370788	371032	A	0.9281	going
371086	371448	A	1.0	to
371534	371880	A	0.84883	act
371950	372424	A	0.99891	on
372542	372824	A	1.0	to
372862	373064	A	0.99995	ask
373102	373304	A	0.99997	this
373342	373930	A	0.97004	question.
375100	375464	A	0.71	And
375502	375704	A	0.94	the
375742	376232	A	1.0	third
376366	376712	A	0.99997	thing
376766	376984	A	0.99991	that
377022	377176	A	1.0	we
377198	377432	A	0.93677	need
377486	378040	A	0.94	to
378190	378552	A	0.99989	ask
378606	378872	A	0.86462	this
378926	379288	A	0.99996	question
379374	379624	A	1.0	is
379662	379768	A	1.0	a
379774	380224	A	0.68628	shared
380292	381100	A	0.99936	language.
381520	381836	A	1.0	And
381858	382088	A	0.60997	it's
382104	382284	A	0.54	the
382322	382744	A	0.99996	shared
382792	383224	A	1.0	language
383272	383576	A	0.99991	that's
383608	383900	A	0.99997	often
383970	384952	A	0.96992	neglected
385096	385790	A	0.74726	in
386880	387640	A	0.73207	models
387720	388060	A	0.76436	based
388130	388316	A	0.99978	in
388338	389100	A	0.98782	physics.
390880	391244	A	0.98	And
391282	391436	A	0.77	I
391458	391596	A	0.99996	think
391618	391756	A	0.9	the
391778	392184	A	0.65273	importance
392232	392348	A	1.0	of
392354	392488	A	1.0	the
392514	392796	A	0.99821	shared
392828	393452	A	0.99851	language
393596	393964	A	0.99865	became
394012	394272	A	0.99975	clear
394326	394496	A	0.9996	in
394518	394972	A	0.99814	classical
395036	395456	A	0.99998	information
395558	396300	A	0.99983	theory.
396460	396976	A	1.0	And
397078	397404	A	0.9957	it's
397452	397712	A	0.99974	become
397766	397984	A	1.0	clear
398022	398272	A	0.96166	again,
398326	398496	A	1.0	of
398518	398704	A	1.0	course,
398742	398896	A	0.99996	in
398918	399324	A	0.9961	quantum
399372	399776	A	0.99999	information
399878	400572	A	0.99929	theory.
400716	401072	A	0.99957	But
401126	401296	A	1.0	this
401318	401504	A	0.99988	has
401542	401792	A	0.99999	only
401846	402160	A	1.0	happened
402230	402464	A	1.0	over
402502	402656	A	1.0	the
402678	402912	A	0.99997	last
402966	403184	A	0.99999	few
403222	404080	A	0.70572	decades.
404840	405492	A	0.97234	So
405626	406020	A	0.99991	what
406090	406276	A	1.0	I
406298	406484	A	0.93166	want
406522	406676	A	1.0	to
406698	406884	A	0.99999	do
406922	407604	A	1.0	today
407802	408260	A	0.54133	is
408330	408612	A	1.0	to
408666	409472	A	0.99988	construct
409616	409876	A	0.99999	in
409898	410036	A	1.0	a
410058	410244	A	0.99999	step
410282	410484	A	0.92893	by
410522	410820	A	0.99999	step
410890	411728	A	0.99969	fashion
411904	412244	A	0.97	a
412282	412752	A	0.61981	formal
412816	413728	A	0.74135	representation
413824	414132	A	1.0	of
414186	414452	A	0.99999	these
414506	414820	A	0.59	three
414890	415172	A	1.0	things
415226	415444	A	0.97192	that
415482	415684	A	1.0	we
415722	416310	A	0.94337	need
416680	417092	A	1.0	to
417146	417424	A	1.0	ask
417482	417656	A	0.91	a
417678	417912	A	0.99991	simple
417966	418664	A	0.99992	question.
418862	419464	A	0.83	And
419582	419864	A	0.9955	what
419902	420164	A	0.87281	we'll
420212	420472	A	1.0	find
420526	420696	A	1.0	is
420718	420904	A	1.0	that
420942	421288	A	0.96716	that
421374	421844	A	0.99997	formal
421892	422740	A	0.93325	representation
422820	423064	A	0.99994	is
423102	423256	A	0.99971	in
423278	423608	A	0.99987	fact
423694	424116	A	0.99997	quantum
424148	424628	A	0.99977	theory.
424724	425032	A	0.50235	So
425086	425444	A	0.99989	it's
425492	425876	A	0.9999	quantum
425908	426756	A	0.88445	theory
426948	427352	A	1.0	that
427406	428036	A	0.50691	provides
428068	428650	A	1.0	us
429180	429892	A	0.99996	with
430046	430364	A	0.92	a
430402	430824	A	0.99992	formal
430872	431960	A	0.9651	representation
432120	432780	A	1.0	of
432930	433388	A	0.99979	asking
433474	433724	A	0.99997	these
433762	434060	A	0.78406	simple
434130	434712	A	0.99993	binary
434776	435436	A	0.99998	questions.
435618	435964	A	1.0	And
436002	436108	A	1.0	of
436114	436284	A	0.99999	course,
436322	436476	A	0.99999	if
436498	436588	A	1.0	you
436594	436716	A	0.99975	can
436738	436924	A	1.0	ask
436962	437068	A	1.0	a
437074	437544	A	0.58162	binary
437592	438236	A	0.99994	question,
438418	438716	A	1.0	you
438738	438972	A	0.97041	can
439026	439388	A	1.0	ask
439474	439724	A	0.99999	any
439762	440232	A	0.98068	finite
440296	440524	A	1.0	number
440562	440716	A	1.0	of
440738	441272	A	0.80175	binary
441336	441950	A	0.99998	questions.
442420	442784	A	0.96096	So
442822	442976	A	1.0	you
442998	443328	A	0.88003	can
443414	443900	A	0.83607	construct
443980	444512	A	0.5482	an
444646	445532	A	0.94588	Arbitrarily
445596	446108	A	0.55904	complex
446204	446780	A	0.99998	finite
446860	447292	A	0.9688	decision
447356	447900	A	0.95847	tree
447980	448224	A	0.99999	that
448262	448556	A	0.99994	ends
448588	448832	A	0.99999	up
448886	449920	A	0.937	formulating
452020	452384	A	0.6669	an
452422	453180	A	0.42842	Arbitrarily
453260	453692	A	0.9947	complex
453756	453984	A	0.6436	but
454022	454320	A	0.56462	still
454390	454952	A	0.9993	finite
455036	455670	A	0.99826	question.
456040	456404	A	0.99992	So
456442	456644	A	0.99989	this
456682	456884	A	0.98843	really
456922	457364	A	0.65683	is
457482	457716	A	1.0	a
457738	458068	A	0.99998	general
458154	458596	A	0.99955	model
458698	459350	A	1.0	of
460280	461072	A	0.99968	communicative
461136	461792	A	0.61626	interactions
461856	462180	A	0.99999	between
462250	462870	A	0.95569	agents.
465240	465892	A	0.99977	So
466026	466416	A	0.99985	let's
466448	466596	A	1.0	go
466618	466900	A	0.56838	about
466970	467590	A	1.0	this
467960	468516	A	0.98	and
468618	468932	A	0.99999	talk
468986	469300	A	0.94	first
469370	469604	A	1.0	about
469642	469892	A	0.99	the
469946	470448	A	0.90608	action
470544	470852	A	1.0	of
470906	471220	A	1.0	asking
471290	471488	A	0.74	you
471514	471656	A	1.0	a
471678	472104	A	0.99999	question.
472222	472456	A	0.92	And
472478	472664	A	0.99951	so
472702	472856	A	1.0	the
472878	473016	A	1.0	first
473038	473176	A	0.99993	thing
473198	473336	A	1.0	I
473358	473496	A	0.99985	want
473518	473656	A	1.0	you
473678	473816	A	1.0	to
473838	474120	A	1.0	do
474190	474808	A	0.99905	is
474974	475496	A	0.99994	actually
475598	476008	A	0.99995	say
476094	476392	A	0.99999	out
476446	477160	A	0.63864	loud
477820	478184	A	0.99497	up
478222	478376	A	0.99918	or
478398	478970	A	0.99838	down,
479500	480250	A	0.9999	actually
480880	481292	A	0.99914	ask
481346	481564	A	0.97	a
481602	482190	A	0.99999	question
484480	484844	A	0.55	and
484882	485228	A	0.94362	then
485314	485624	A	0.97477	note
485672	485884	A	1.0	two
485922	486220	A	0.78606	things
486290	486620	A	1.0	about
486690	486972	A	1.0	what
487026	487340	A	0.94324	just
487410	488030	A	0.6087	happened.
489440	489804	A	0.88	The
489842	490044	A	1.0	first
490082	490236	A	0.99993	thing
490258	490396	A	1.0	to
490418	490744	A	0.84707	note
490792	491004	A	1.0	is
491042	491196	A	1.0	that
491218	491452	A	1.0	it
491506	491724	A	0.99997	took
491762	492060	A	0.681	some
492130	492616	A	0.83371	time
492738	492976	A	1.0	to
492998	493184	A	0.98209	do
493222	493856	A	0.99995	that.
494038	494432	A	0.94139	That
494486	494844	A	0.99972	action
494892	495200	A	0.99998	actually
495270	495772	A	0.58413	required
495836	495968	A	1.0	a
495974	496284	A	0.99587	finite
496332	496592	A	1.0	amount
496646	496816	A	1.0	of
496838	497410	A	0.99961	time,
499380	499744	A	0.66	a
499782	499984	A	1.0	couple
500022	500176	A	1.0	of
500198	500604	A	1.0	seconds,
500652	500864	A	0.99999	not
500902	501104	A	1.0	very
501142	501776	A	1.0	long,
501958	502448	A	0.9999	but
502534	502844	A	0.63053	it's
502892	503248	A	0.99999	not
503334	503970	A	1.0	zero.
504740	505164	A	0.99989	It
505222	505540	A	0.99984	always
505610	505892	A	0.99996	takes
505946	506212	A	0.99993	time
506266	506484	A	1.0	to
506522	506772	A	1.0	ask
506826	506996	A	1.0	a
507018	507590	A	0.99997	question.
508440	508804	A	1.0	And
508842	508996	A	1.0	the
509018	509252	A	1.0	second
509306	509476	A	0.99997	thing
509498	509636	A	1.0	to
509658	509936	A	0.99945	note
509968	510164	A	0.9924	is
510202	510356	A	0.99987	that
510378	510516	A	0.99999	it
510538	510820	A	0.99963	took
510890	511510	A	0.99998	energy
512120	512820	A	0.54	to
512970	513380	A	0.99992	actually
513450	513828	A	0.99989	say
513914	514116	A	0.99994	up
514138	514276	A	0.99934	or
514298	514870	A	0.99857	down.
